timestamp,imbalanced_prop_metric,motor_failure_mask,motor_stop_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
9100476290,-0.0012336536,0,0,0,0,0,0,0,0,0,0
9100931142,-0.0017690414,0,0,0,0,0,0,0,0,0,0
9101164993,-0.0019483765,0,0,0,0,0,0,0,0,0,0
9101569271,-0.0019839208,0,0,0,0,0,0,0,0,0,0
9102075012,-0.0022019641,0,0,0,0,0,0,0,0,0,0
9102580843,-0.0022181477,0,0,0,0,0,0,0,0,0,0
9103086420,-0.0023008154,0,0,0,0,0,0,0,0,0,0
9103592312,-0.002390009,0,0,0,0,0,0,0,0,0,0
9104097414,-0.0025170825,0,0,0,0,0,0,0,0,0,0
9104118640,-0.0025170825,0,0,0,0,0,0,0,0,0,0
9104624749,-0.0025486269,0,0,0,0,0,0,0,0,0,0
9105130656,-0.0029052563,0,0,0,0,0,0,0,0,0,0
9105636241,-0.0032932386,0,0,0,0,0,0,0,0,0,0
9106142534,-0.002856427,0,0,0,0,0,0,0,0,0,0
9106647949,-0.002727099,0,0,0,0,0,0,0,0,0,0
9106870001,-0.002755795,0,0,0,0,0,0,0,0,0,0
9106880330,-0.002755795,0,0,0,0,0,0,0,0,0,0
9107386827,-0.002491581,0,0,0,0,0,0,0,0,0,0
9107892088,-0.0027516386,0,0,0,0,0,0,0,0,0,0
9108398141,-0.0029028861,0,0,0,0,0,0,0,0,0,0
9108903451,-0.0024459385,0,0,0,0,0,0,0,0,0,0
9109409548,-0.0026560503,0,0,0,0,0,0,0,0,0,0
9109914654,-0.003090809,0,0,0,0,0,0,0,0,0,0
9110421057,0.005843344,0,0,0,0,0,0,0,0,0,0
9110926495,0.0035956784,0,0,0,0,0,0,0,0,0,0
9111432965,0.0039547416,0,0,0,0,0,0,0,0,0,0
9111938137,0.0061080223,0,0,0,0,0,0,0,0,0,0
9112444413,0.014019756,0,0,0,0,0,0,0,0,0,0
9112950330,0.0149976015,0,0,0,0,0,0,0,0,0,0
9113457393,0.0159399,0,0,0,0,0,0,0,0,0,0
9113962829,0.015177252,0,0,0,0,0,0,0,0,0,0
9114367911,0.01946964,0,0,0,0,0,0,0,0,0,0
9114873318,0.020434527,0,0,0,0,0,0,0,0,0,0
9115379549,0.016594546,0,0,0,0,0,0,0,0,0,0
9115884387,0.015256885,0,0,0,0,0,0,0,0,0,0
9116390695,0.015019337,0,0,0,0,0,0,0,0,0,0
9116895931,0.015323747,0,0,0,0,0,0,0,0,0,0
9117402545,0.012865048,0,0,0,0,0,0,0,0,0,0
9117907758,0.011805393,0,0,0,0,0,0,0,0,0,0
9118413696,0.0082655065,0,0,0,0,0,0,0,0,0,0
9118918817,0.017453888,0,0,0,0,0,0,0,0,0,0
9119425571,0.024495665,0,0,0,0,0,0,0,0,0,0
9119930601,0.017433546,0,0,0,0,0,0,0,0,0,0
9120436896,0.020615723,0,0,0,0,0,0,0,0,0,0
9120941999,0.021751285,0,0,0,0,0,0,0,0,0,0
9121448556,0.016568417,0,0,0,0,0,0,0,0,0,0
9121954042,0.017895842,0,0,0,0,0,0,0,0,0,0
9122460438,0.019387653,0,0,0,0,0,0,0,0,0,0
9122965339,0.021772804,0,0,0,0,0,0,0,0,0,0
9123472077,0.034862626,0,0,0,0,0,0,0,0,0,0
9123977081,0.03617412,0,0,0,0,0,0,0,0,0,0
9124484292,0.04213941,0,0,0,0,0,0,0,0,0,0
9124989500,0.040227372,0,0,0,0,0,0,0,0,0,0
9125495481,0.021473726,0,0,0,0,0,0,0,0,0,0
9125859347,0.019642018,0,0,0,0,0,0,0,0,0,0
9126366375,0.0054941727,0,0,0,0,0,0,0,0,0,0
9126871378,0.0013023815,0,0,0,0,0,0,0,0,0,0
9127377905,0.003920362,0,0,0,0,0,0,0,0,0,0
9127883382,-0.011195579,0,0,0,0,0,0,0,0,0,0
9128390445,-0.010017648,0,0,0,0,0,0,0,0,0,0
9128895569,-0.015866442,0,0,0,0,0,0,0,0,0,0
9129402154,-0.018785447,0,0,0,0,0,0,0,0,0,0
9129907321,-0.030905025,0,0,0,0,0,0,0,0,0,0
9130413787,-0.028774416,0,0,0,0,0,0,0,0,0,0
9130919011,-0.02975548,0,0,0,0,0,0,0,0,0,0
9131426032,-0.03193883,0,0,0,0,0,0,0,0,0,0
9131932677,-0.01652391,0,0,0,0,0,0,0,0,0,0
9132437630,0.042142216,0,0,0,0,0,0,0,0,0,0
9132944080,0.09840269,0,0,0,0,0,0,0,0,0,0
9133449632,0.13006625,0,0,0,0,0,0,0,0,0,0
9133956076,0.15661871,0,0,0,0,0,0,0,0,0,0
9134461844,0.16254097,0,0,0,0,0,0,0,0,0,0
9134968349,0.121512964,0,0,0,0,0,0,0,0,0,0
9135474003,0.10710355,0,0,0,0,0,0,0,0,0,0
9135979566,0.11663406,0,0,0,0,0,0,0,0,0,0
9136485319,0.12946461,0,0,0,0,0,0,0,0,0,0
9136991734,0.14189714,0,0,0,0,0,0,0,0,0,0
9137497007,0.1707229,0,0,0,0,0,0,0,0,0,0
9138002988,0.16951416,0,0,0,0,0,0,0,0,0,0
9138508185,0.15443188,0,0,0,0,0,0,0,0,0,0
9139014925,0.15946122,0,0,0,0,0,0,0,0,0,0
9139520527,0.1301074,0,0,0,0,0,0,0,0,0,0
9140027375,0.11172432,0,0,0,0,0,0,0,0,0,0
9140532700,0.09262205,0,0,0,0,0,0,0,0,0,0
9141040030,0.07112411,0,0,0,0,0,0,0,0,0,0
9141544984,0.076512195,0,0,0,0,0,0,0,0,0,0
9142051663,0.10071775,0,0,0,0,0,0,0,0,0,0
9142557980,0.09933024,0,0,0,0,0,0,0,0,0,0
9143064119,0.10781716,0,0,0,0,0,0,0,0,0,0
9143570418,0.11421706,0,0,0,0,0,0,0,0,0,0
9144076482,0.1307636,0,0,0,0,0,0,0,0,0,0
9144583192,0.14033887,0,0,0,0,0,0,0,0,0,0
9145088414,0.13029698,0,0,0,0,0,0,0,0,0,0
9145382037,0.13883682,0,0,0,0,0,0,0,0,0,0
9145888363,0.12800987,0,0,0,0,0,0,0,0,0,0
9146393896,0.10247682,0,0,0,0,0,0,0,0,0,0
9146900202,0.10763117,0,0,0,0,0,0,0,0,0,0
9147405417,0.10650371,0,0,0,0,0,0,0,0,0,0
9147911370,0.05960534,0,0,0,0,0,0,0,0,0,0
9148416903,0.045076802,0,0,0,0,0,0,0,0,0,0
9148923089,0.038144823,0,0,0,0,0,0,0,0,0,0
9149428884,0.03397879,0,0,0,0,0,0,0,0,0,0
9149934848,0.030085525,0,0,0,0,0,0,0,0,0,0
9150440204,0.02742109,0,0,0,0,0,0,0,0,0,0
9150946308,0.024047097,0,0,0,0,0,0,0,0,0,0
9151451559,0.021156259,0,0,0,0,0,0,0,0,0,0
9151957036,0.018499233,0,0,0,0,0,0,0,0,0,0
9152461797,0.016864168,0,0,0,0,0,0,0,0,0,0
9152969019,0.0149651775,0,0,0,0,0,0,0,0,0,0
9153473919,0.0132816015,0,0,0,0,0,0,0,0,0,0
9153980094,0.011562672,0,0,0,0,0,0,0,0,0,0
9154485006,0.010516886,0,0,0,0,0,0,0,0,0,0
9154991873,0.009272961,0,0,0,0,0,0,0,0,0,0
