timestamp,timestamp_sample,device_id,pressure,temperature,error_count
9110921335,9110921085,6845961,98914.03,47.622257,0
9111030744,9111030494,6845961,98914.266,47.62574,0
9111109064,9111108810,6845961,98913.914,47.630386,0
9111218342,9111218029,6845961,98914.484,47.628067,0
9111296349,9111296096,6845961,98914.305,47.629227,0
9111468208,9111467959,6845961,98914.305,47.629227,0
9111546346,9111546097,6845961,98914.53,47.632713,0
9111593262,9111592961,6845961,98914.79,47.63852,0
9111733859,9111733600,6845961,98915.02,47.642006,0
9111843275,9111843016,6845961,98914.82,47.640842,0
9111921345,9111921098,6845961,98915.414,47.642006,0
9112030744,9112030491,6845961,98914.84,47.643166,0
9112108836,9112108584,6845961,98914.56,47.635036,0
9112218214,9112217963,6845961,98914.59,47.63852,0
9112311984,9112311734,6845961,98914.305,47.64781,0
9112405723,9112405474,6845961,98914.54,47.6513,0
9112546353,9112546104,6845961,98913.734,47.648975,0
9112608843,9112608595,6845961,98914.12,47.648975,0
9112733849,9112733601,6845961,98914.016,47.657104,0
9112827597,9112827347,6845961,98914.02,47.658268,0
9112921512,9112921221,6845961,98913.95,47.669884,0
9113015137,9113014891,6845961,98913.6,47.67337,0
9113124511,9113124214,6845961,98912.875,47.679176,0
9113249478,9113249221,6845961,98912.87,47.678017,0
9113312066,9113311810,6845961,98913.086,47.68034,0
9113437043,9113436794,6845961,98912.875,47.679176,0
9113546348,9113546091,6845961,98913.23,47.675694,0
9113640128,9113639878,6845961,98913.19,47.671047,0
9113733927,9113733675,6845961,98913.45,47.65943,0
9113827592,9113827344,6845961,98913.07,47.66059,0
9113936975,9113936724,6845961,98912.984,47.65246,0
9114015080,9114014837,6845961,98912.99,47.65362,0
9114124608,9114124359,6845961,98912.8,47.65362,0
9114249474,9114249214,6845961,98912.79,47.65246,0
9114311969,9114311717,6845961,98912.234,47.655945,0
9114452610,9114452352,6845961,98912.97,47.6513,0
9114530778,9114530522,6845961,98912.19,47.6513,0
9114640125,9114639874,6845961,98912.76,47.65014,0
9114718209,9114717961,6845961,98912.36,47.648975,0
9114827590,9114827341,6845961,98912.36,47.648975,0
9114968208,9114967957,6845961,98912.586,47.6513,0
9115015093,9115014846,6845961,98912.17,47.65014,0
9115155744,9115155496,6845961,98912.19,47.6513,0
9115265112,9115264863,6845961,98912.36,47.648975,0
9115343223,9115342969,6845961,98912.44,47.655945,0
9115452585,9115452337,6845961,98912.85,47.658268,0
9115530768,9115530516,6845961,98912.586,47.669884,0
9115640159,9115639909,6845961,98912.36,47.66756,0
9115718275,9115718027,6845961,98912.61,47.672207,0
9115827598,9115827347,6845961,98912.805,47.672207,0
9115968307,9115968064,6845961,98911.91,47.66175,0
9116015173,9116014849,6845961,98912.78,47.669884,0
9116093204,9116092954,6845961,98912.72,47.664078,0
9116233842,9116233595,6845961,98912.3,47.66175,0
9116343239,9116342993,6845961,98912.71,47.662914,0
9116421345,9116421097,6845961,98912.55,47.666397,0
9116530807,9116530550,6845961,98913.16,47.668724,0
9116608935,9116608692,6845961,98912.8,47.671047,0
9116718212,9116717961,6845961,98912.664,47.676853,0
9116811973,9116811720,6845961,98912.07,47.676853,0
9116905723,9116905473,6845961,98912.68,47.679176,0
9117046333,9117046084,6845961,98912.67,47.678017,0
9117108877,9117108593,6845961,98912.5,47.68034,0
9117233848,9117233599,6845961,98912.71,47.681503,0
9117343209,9117342960,6845961,98912.8,47.689632,0
9117421336,9117421088,6845961,98913.03,47.693115,0
9117530861,9117530594,6845961,98912.72,47.70125,0
9117624464,9117624215,6845961,98913.17,47.705894,0
9117718207,9117717959,6845961,98912.82,47.71054,0
9117811964,9117811714,6845961,98912.664,47.714027,0
9117921347,9117921084,6845961,98913.18,47.707058,0
9118046356,9118046104,6845961,98913.19,47.725643,0
9118108898,9118108635,6845961,98913.195,47.726807,0
9118233912,9118233663,6845961,98912.53,47.719833,0
9118327586,9118327336,6845961,98912.516,47.718674,0
9118436972,9118436722,6845961,98913.336,47.72216,0
9118515135,9118514878,6845961,98913.0,47.727966,0
9118624474,9118624210,6845961,98913.0,47.727966,0
9118749495,9118749222,6845961,98913.28,47.734936,0
9118812088,9118811834,6845961,98912.69,47.733772,0
9118952652,9118952369,6845961,98912.664,47.732613,0
9119046329,9119046084,6845961,98912.62,47.727966,0
