timestamp,nav_state,failure
9100430422,15,0
9100931271,15,0
9101569350,15,0
9102075216,15,0
9102580991,15,0
9103086549,15,0
9103592374,15,0
9104097600,15,0
9104624891,15,0
9105130717,15,0
9105636307,15,0
9106142594,15,0
9106648120,15,0
9107386890,15,0
9107892149,15,0
9108398203,15,0
9108903525,15,0
9109409956,15,0
9109914729,15,0
9110421154,15,0
9110926570,15,0
9111433024,15,0
9111938197,15,0
9112444476,15,0
9112950472,15,0
9113457563,15,0
9113963273,15,0
9114873378,15,0
9115379624,15,0
9115884446,15,0
9116390758,15,0
9116896081,15,0
9117402620,15,0
9117907937,15,0
9118413755,15,0
9118918878,15,0
9119425695,15,0
9119930663,15,0
9120436956,15,0
9120942060,15,0
9121448749,15,0
9121954137,15,0
9122460498,15,0
9122965411,15,0
9123472152,15,0
9123977141,15,0
9124484472,15,0
9124989631,15,0
9125495552,15,0
9126366540,15,0
9126871438,15,0
9127377967,15,0
9127883455,15,0
9128390507,15,0
9128895631,15,0
9129402214,15,0
9129907534,15,0
9130413847,15,0
9130919192,15,0
9131426091,15,0
9131932821,15,0
9132437687,15,0
9132944282,15,0
9133449690,15,0
9133956308,15,0
9134461906,15,0
9134968537,15,0
9135474068,15,0
9135979642,15,0
9136485393,15,0
9136991977,15,0
9137497066,15,0
9138003180,15,0
9138508291,15,0
9139014997,15,0
9139520597,15,0
9140027449,15,0
9140532870,15,0
9141040092,15,0
9141545042,15,0
9142051740,15,0
9142558484,15,0
9143064178,15,0
9143570562,15,0
9144076560,15,0
9144583315,15,0
9145088516,15,0
9145888426,15,0
9146393990,15,0
9146900266,15,0
9147405628,15,0
9147911433,15,0
9148417078,15,0
9148923218,15,0
9149429117,15,0
9149934908,15,0
9150440456,15,0
9150946435,15,0
9151451623,15,0
9151957095,15,0
9152461874,15,0
9152969078,15,0
9153473979,15,0
9153980214,15,0
9154485084,15,0
9154992062,15,0
9155550510,15,0
9156056086,15,0
9156562158,15,0
9157067459,15,0
9157573277,15,0
9158078047,15,0
9158584514,15,0
9159089889,15,0
9159595417,15,0
9160101349,15,0
9160608116,15,0
9161113270,15,0
9161620148,15,0
