timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
9100557564,9100556841,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9100570690,9100569463,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9100636383,9100635500,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9100730883,9100729791,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9100835292,9100829809,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9100938290,9100932473,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9101035440,9101033148,15728642,-0.39222386,-0.35907707,-9.855469,nan,0,0,0,0,1
9101137124,9101136236,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9101230386,9101229498,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9101336165,9101330555,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9101438671,9101433064,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9101536729,9101534023,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9101637107,9101636420,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9101731492,9101730794,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9101837450,9101831049,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9101939201,9101933711,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9102036999,9102034515,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9102138672,9102137790,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9102232097,9102231410,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9102336212,9102331793,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9102440688,9102434482,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9102538247,9102535544,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9102638681,9102636890,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9102732563,9102731870,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9102834915,9102833815,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9102941282,9102935090,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103040186,9103036383,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103131460,9103130575,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9103233243,9103232560,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103335199,9103334098,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103441606,9103435613,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9103539784,9103536865,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9103640424,9103639529,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103733472,9103732758,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9103835911,9103834126,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9103943089,9103936379,15728642,-0.39222386,-0.35907707,-9.816406,nan,0,0,0,0,1
9104040615,9104037725,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9104132575,9104131883,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9104234387,9104233697,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9104336900,9104335814,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9104443483,9104437083,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9104543011,9104539907,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9104633775,9104632886,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9104735407,9104734525,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9104837694,9104835711,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9104943748,9104937559,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9105042480,9105039544,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9105125677,9105124946,15728642,-0.4723258,-0.3839363,-9.855469,nan,0,0,0,0,1
9105235391,9105234689,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9105338009,9105336005,15728642,-0.4723258,-0.3839363,-9.816406,nan,0,0,0,0,1
9105444708,9105438122,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9105533745,9105532830,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9105633987,9105633290,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9105736387,9105735672,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9105839441,9105837445,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9105945522,9105938903,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9106034631,9106032849,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9106127179,9106126487,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9106236355,9106235669,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9106340056,9106338934,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9106446913,9106439428,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9106534595,9106532403,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9106628862,9106627928,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9106737659,9106736947,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9106835337,9106829758,15728642,-0.44470444,-0.41155764,-9.8515625,nan,0,0,0,0,1
9106934880,9106932190,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107035542,9107033049,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107128496,9107127788,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107231319,9107229336,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9107336187,9107330193,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107435320,9107431944,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107536276,9107533767,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9107637342,9107636636,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9107731755,9107729767,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9107836701,9107830920,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9107936922,9107932711,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9108036559,9108034279,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9108130069,9108129387,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
9108232549,9108231450,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9108337198,9108331620,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9108437293,9108433310,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9108537164,9108534872,15728642,-0.44746658,-0.35907707,-9.855469,nan,0,0,0,0,1
9108630514,9108629628,15728642,-0.41984522,-0.38669842,-9.8515625,nan,0,0,0,0,1
9108733882,9108732744,15728642,-0.41984522,-0.38669842,-9.8125,nan,0,0,0,0,1
9108838717,9108832136,15728642,-0.44746658,-0.35907707,-9.816406,nan,0,0,0,0,1
