timestamp,safe_points_id,is_evaluation_pending,has_vtol_approach,rtl_type,safe_point_index
9102580985,0,0,0,1,0
9104624885,0,0,0,1,0
9106648114,0,0,0,1,0
9108903519,0,0,0,1,0
9110926564,0,0,0,1,0
9112950465,0,0,0,1,0
9115379619,0,0,0,1,0
9117402615,0,0,0,1,0
9119425689,0,0,0,1,0
9121448743,0,0,0,1,0
9123472145,0,0,0,1,0
9125495547,0,0,0,1,0
9127883450,0,0,0,1,0
9129907394,0,0,0,1,0
9131932815,0,0,0,1,0
9133956302,0,0,0,1,0
9135979636,0,0,0,1,0
9138003174,0,0,0,1,0
9140027443,0,0,0,1,0
9142051734,0,0,0,1,0
9144076554,0,0,0,1,0
9146393983,0,0,0,1,0
9148417072,0,0,0,1,0
9150440450,0,0,0,1,0
9152461868,0,0,0,1,0
9154485078,0,0,0,1,0
9156562153,0,0,0,1,0
9158584508,0,0,0,1,0
9160608110,0,0,0,1,0
