timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,disable_auto_set_home,source_type,source_id
9100394758,0,0,0,0,0,0
9100900683,0,0,0,0,0,0
9101407662,0,0,0,0,0,0
9101912736,0,0,0,0,0,0
9102418819,0,0,0,0,0,0
9102924306,0,0,0,0,0,0
9103430508,0,0,0,0,0,0
9103935747,0,0,0,0,0,0
9104442678,0,0,0,0,0,0
9104947813,0,0,0,0,0,0
9105454452,0,0,0,0,0,0
9105959467,0,0,0,0,0,0
9106466151,0,0,0,0,0,0
9106971289,0,0,0,0,0,0
9107477740,0,0,0,0,0,0
9107983106,0,0,0,0,0,0
9108489231,0,0,0,0,0,0
9108994492,0,0,0,0,0,0
9109500409,0,0,0,0,0,0
9110005482,0,0,0,0,0,0
9110512276,0,0,0,0,0,0
9111017487,0,0,0,0,0,0
9111524104,0,0,0,0,0,0
9112029188,0,0,0,0,0,0
9112535325,0,0,0,0,0,0
9113042206,0,0,0,0,0,0
9113548376,0,0,0,0,0,0
9114053948,0,0,0,0,0,0
9114560236,0,0,0,0,0,0
9115065951,0,0,0,0,0,0
9115571392,0,0,0,0,0,0
9116076869,0,0,0,0,0,0
9116582928,0,0,0,0,0,0
9117088704,0,0,0,0,0,0
9117594642,0,0,0,0,0,0
9118100078,0,0,0,0,0,0
9118605639,0,0,0,0,0,0
9119111905,0,0,0,0,0,0
9119617532,0,0,0,0,0,0
9120122657,0,0,0,0,0,0
9120628959,0,0,0,0,0,0
9121134516,0,0,0,0,0,0
9121640673,0,0,0,0,0,0
9122146670,0,0,0,0,0,0
9122652376,0,0,0,0,0,0
9123157835,0,0,0,0,0,0
9123664107,0,0,0,0,0,0
9124169999,0,0,0,0,0,0
9124676219,0,0,0,0,0,0
9125181988,0,0,0,0,0,0
9125687600,0,0,0,0,0,0
9126194278,0,0,0,0,0,0
9126699765,0,0,0,0,0,0
9127205881,0,0,0,0,0,0
9127711780,0,0,0,0,0,0
9128218287,0,0,0,0,0,0
9128723792,0,0,0,0,0,0
9129230360,0,0,0,0,0,0
9129735380,0,0,0,0,0,0
9130241617,0,0,0,0,0,0
9130747074,0,0,0,0,0,0
9131254297,0,0,0,0,0,0
9131759443,0,0,0,0,0,0
9132265794,0,0,0,0,0,0
9132771071,0,0,0,0,0,0
9133277673,0,0,0,0,0,0
9133783105,0,0,0,0,0,0
9134290148,0,0,0,0,0,0
9134796039,0,0,0,0,0,0
9135302195,0,0,0,0,0,0
9135807475,0,0,0,0,0,0
9136313377,0,0,0,0,0,0
9136818983,0,0,0,0,0,0
9137325339,0,0,0,0,0,0
9137830761,0,0,0,0,0,0
9138336564,0,0,0,0,0,0
9138842147,0,0,0,0,0,0
9139348376,0,0,0,0,0,0
9139855119,0,0,0,0,0,0
9140360727,0,0,0,0,0,0
9140867780,0,0,0,0,0,0
9141373317,0,0,0,0,0,0
9141879566,0,0,0,0,0,0
9142385197,0,0,0,0,0,0
9142892088,0,0,0,0,0,0
9143397194,0,0,0,0,0,0
9143904431,0,0,0,0,0,0
9144410439,0,0,0,0,0,0
9144916688,0,0,0,0,0,0
9145422529,0,0,0,0,0,0
9145928734,0,0,0,0,0,0
9146434352,0,0,0,0,0,0
9146940537,0,0,0,0,0,0
9147445949,0,0,0,0,0,0
9147951749,0,0,0,0,0,0
9148457580,0,0,0,0,0,0
9148963370,0,0,0,0,0,0
9149469311,0,0,0,0,0,0
9149975144,0,0,0,0,0,0
9150480747,0,0,0,0,0,0
9150986766,0,0,0,0,0,0
9151491955,0,0,0,0,0,0
9151997340,0,0,0,0,0,0
9152502138,0,0,0,0,0,0
9153009401,0,0,0,0,0,0
9153514529,0,0,0,0,0,0
9154020407,0,0,0,0,0,0
9154525525,0,0,0,0,0,0
9155032207,0,0,0,0,0,0
9155539993,0,0,0,0,0,0
9156045804,0,0,0,0,0,0
9156551913,0,0,0,0,0,0
9157057300,0,0,0,0,0,0
9157563118,0,0,0,0,0,0
9158067889,0,0,0,0,0,0
9158574339,0,0,0,0,0,0
9159079729,0,0,0,0,0,0
9159585102,0,0,0,0,0,0
9160091106,0,0,0,0,0,0
9160597857,0,0,0,0,0,0
9161103109,0,0,0,0,0,0
9161609607,0,0,0,0,0,0
