timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
9118510617,15728642,15728642,0,0,0,0,0,0,0,0,127.407715,99.84759,127.407715,99.84759,0.12663175,0.06602298,3.6927634e-07,-0.44959134,-1.3126514,-9.658052,-0.7231271,0.5618184,0.05000008,0.026282197,0.07862492,0.010888687,0.007892269,0.014200762,0.0039683026,nan,nan
9119552539,15728642,15728642,0,0,0,0,0,0,0,0,127.22124,99.847145,127.22124,99.847145,0.14558323,0.07865655,6.253389e-07,0.096674144,0.1830549,-9.943537,-0.110485464,-0.5877825,-0.6046875,0.076228335,0.04552627,0.086735085,0.044976983,0.0011991726,0.026825115,nan,nan
9120514197,15728642,15728642,0,0,0,0,0,0,0,0,127.17921,99.84823,127.17921,99.84823,0.19214235,0.095378734,2.7682796e-07,2.4204197,0.6992156,-9.385881,0.4311443,-0.88262796,0.07439623,0.066295266,0.04402613,0.057563607,0.0037085803,0.036031127,0.010477792,nan,nan
9121484086,15728642,15728642,0,0,0,0,0,0,0,0,127.18588,99.84762,127.18588,99.84762,0.22014154,0.10125057,9.681894e-07,2.4508638,1.4628702,-9.2890625,0.081483,0.988468,-0.09996443,0.50249916,0.3574111,0.2261504,0.01759453,0.012410012,0.020465713,nan,nan
9122547287,15728642,15728642,0,0,0,0,0,0,0,0,127.173874,99.84457,127.173874,99.84457,0.28632885,0.12227462,4.7515616e-07,2.1845977,1.6366916,-9.521662,-0.4876551,1.1864754,-0.3529296,0.13320537,0.07681941,0.033350676,0.016736113,0.0124789085,0.0029636382,nan,nan
9123518058,15728642,15728642,0,0,0,0,0,0,0,0,127.158035,99.84477,127.158035,99.84477,0.22791752,0.11034894,1.4488512e-07,-0.7043452,-1.2875493,-9.837333,-0.1845609,-0.12655604,0.033558242,0.05700918,0.10115271,0.08295529,0.00436717,0.03880473,0.004192978,nan,nan
9124479514,15728642,15728642,0,0,0,0,0,0,0,0,127.148605,99.84638,127.148605,99.84638,0.25155267,0.11970448,7.141752e-08,-1.3058989,-0.21367033,-9.953683,-0.002008826,-0.14538878,0.0053266957,0.028801765,0.030552335,0.088355064,0.003159852,0.033204686,0.0019493802,nan,nan
9125551438,15728642,15728642,0,0,0,0,0,0,0,0,127.1013,99.84708,127.1013,99.84708,0.20401579,0.09442285,1.6127944e-07,-0.49757966,-0.13258189,-10.142578,0.16999692,-0.19786939,0.16690338,0.015165896,0.04018109,0.023988582,0.002789099,0.022974813,0.0067530535,nan,nan
9126513652,15728642,15728642,0,0,0,0,0,0,0,0,127.12971,99.84508,127.12971,99.84508,0.2116552,0.100037694,2.4734715e-07,0.1935462,-0.61023414,-9.784598,0.7556952,-0.15304743,0.016157612,0.0062155672,0.013140709,0.021178864,0.0047549526,0.001655891,0.0031876308,nan,nan
9127475039,15728642,15728642,0,0,0,0,0,0,0,0,127.11276,99.84571,127.11276,99.84571,0.19374423,0.08465309,1.5948436e-07,0.69881976,2.0441935,-9.363582,-0.69453907,0.17387645,0.003906304,0.027394613,0.13597164,0.016099181,0.0009597991,0.0016633993,0.0022566053,nan,nan
9128536176,15728642,15728642,0,0,0,0,0,0,0,0,127.10578,99.845726,127.10578,99.845726,0.21182308,0.09272179,3.5736076e-07,0.22609995,1.2374374,-9.545759,0.8189733,-0.17966437,-0.026100915,0.017093198,0.18698,0.13749912,0.028366849,0.0020925354,0.0012781312,nan,nan
9129487313,15728642,15728642,0,0,0,0,0,0,0,0,127.13352,99.84595,127.13352,99.84595,0.18052186,0.07133377,7.901488e-08,-0.15616748,-4.5738835,-8.848557,0.009667475,-0.06656747,0.020117182,0.021354195,0.001555717,0.20632468,0.037347157,0.001525794,0.00073924556,nan,nan
9130558596,15728642,15728642,0,0,0,0,0,0,0,0,127.12445,99.84436,127.12445,99.84436,0.2324708,0.10201197,2.0233945e-06,-0.9412515,-0.37947437,-10.173377,-0.29872495,1.2179637,0.5935548,0.36908484,0.52681935,0.32958367,0.0395063,0.18943675,0.15518059,nan,nan
9131511543,15728642,15728642,0,0,0,0,0,0,0,0,127.14525,99.84596,127.14525,99.84596,0.19826096,0.08823964,1.5276989e-07,0.29299822,0.028259428,-10.466045,0.046956316,-0.22870485,0.061718732,0.01224068,0.03437571,0.03908636,0.009952121,0.009471131,0.0025195652,nan,nan
9132572299,15728642,15728642,0,0,0,0,0,0,0,0,127.17217,99.84466,127.17217,99.84466,0.4621299,0.14913324,4.6565012e-07,-0.45496383,-0.48416233,-9.807478,-0.016572818,-0.10948102,-0.064098,1.3170134,1.3403454,0.23811087,0.003911588,0.09243279,0.2822844,nan,nan
9133544569,15728642,15728642,0,0,0,0,0,0,0,0,127.19382,99.845024,127.19382,99.845024,0.48923194,0.1601362,4.4312895e-07,1.0196221,1.697925,-10.062779,-0.03364783,0.17476787,0.12500001,0.46822757,0.20833232,0.0865372,0.03187381,0.01919569,0.052121736,nan,nan
9134506204,15728642,15728642,0,0,0,0,0,0,0,0,127.21319,99.844284,127.21319,99.844284,0.5234931,0.23439221,2.0009886e-06,0.9467746,1.3084031,-9.314904,-0.09460315,-0.23464347,-0.21914065,0.6969632,0.624277,0.31680176,0.13074502,1.0373659,0.24998887,nan,nan
9135566722,15728642,15728642,0,0,0,0,0,0,0,0,127.20188,99.84682,127.20188,99.84682,0.42282978,0.18856874,2.5615705e-07,-0.18723395,-0.42240888,-9.80971,0.1819243,0.1879508,-0.11825284,0.17568871,0.9764984,0.26123855,0.067447685,0.06767062,0.038545504,nan,nan
9136539242,15728642,15728642,0,0,0,0,0,0,0,0,127.194664,99.8445,127.194664,99.8445,0.3787642,0.16282295,1.12912005e-07,-0.27600172,-0.48974732,-9.798677,0.013534477,0.007181544,0.16894531,0.014467189,0.17895304,0.008902522,0.004875523,0.0040307776,0.02249082,nan,nan
9137500868,15728642,15728642,0,0,0,0,0,0,0,0,127.21183,99.84674,127.21183,99.84674,0.42238364,0.18832172,1.5258497e-07,-0.372464,-0.7774344,-9.843149,-0.028726215,-0.024306793,-0.060156245,0.0117910355,0.1502274,0.006021769,0.0021882819,0.001249185,0.18533647,nan,nan
