timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
9100592604,0.0,0.0,0.0
9100602423,0.0,0.0,0.0
9100612199,0.0,0.0,0.0
9100632179,0.0,0.0,0.0
9100652228,0.0,0.0,0.0
9100672137,0.0,0.0,0.0
9100693258,0.0,0.0,0.0
9100712147,0.0,0.0,0.0
9100733126,0.0,0.0,0.0
9100751952,0.0,0.0,0.0
9100772362,0.0,0.0,0.0
9100792335,0.0,0.0,0.0
9100812353,0.0,0.0,0.0
9100832224,0.0,0.0,0.0
9100852274,0.0,0.0,0.0
9100874248,0.0,0.0,0.0
9100892256,0.0,0.0,0.0
9100913120,0.0,0.0,0.0
9100934106,0.0,0.0,0.0
9100952078,0.0,0.0,0.0
9100973004,0.0,0.0,0.0
9100992998,0.0,0.0,0.0
9101013105,0.0,0.0,0.0
9101032293,0.0,0.0,0.0
9101053456,0.0,0.0,0.0
9101072557,0.0,0.0,0.0
9101092422,0.0,0.0,0.0
9101113455,0.0,0.0,0.0
9101132951,0.0,0.0,0.0
9101152882,0.0,0.0,0.0
9101172769,0.0,0.0,0.0
9101194882,0.0,0.0,0.0
9101212744,0.0,0.0,0.0
9101233628,0.0,0.0,0.0
9101253521,0.0,0.0,0.0
9101272433,0.0,0.0,0.0
9101293329,0.0,0.0,0.0
9101313227,0.0,0.0,0.0
9101333020,0.0,0.0,0.0
9101353557,0.0,0.0,0.0
9101374583,0.0,0.0,0.0
9101393538,0.0,0.0,0.0
9101413432,0.0,0.0,0.0
9101434368,0.0,0.0,0.0
9101452563,0.0,0.0,0.0
9101473516,0.0,0.0,0.0
9101493429,0.0,0.0,0.0
9101503957,0.0,0.0,0.0
9101533595,0.0,0.0,0.0
9101554761,0.0,0.0,0.0
9101573886,0.0,0.0,0.0
9101593786,0.0,0.0,0.0
9101614005,0.0,0.0,0.0
9101632956,0.0,0.0,0.0
9101654060,0.0,0.0,0.0
9101674006,0.0,0.0,0.0
9101694898,0.0,0.0,0.0
9101713802,0.0,0.0,0.0
9101734819,0.0,0.0,0.0
9101753723,0.0,0.0,0.0
9101773604,0.0,0.0,0.0
9101794453,0.0,0.0,0.0
9101813432,0.0,0.0,0.0
9101834368,0.0,0.0,0.0
9101854317,0.0,0.0,0.0
9101864737,0.0,0.0,0.0
9101894088,0.0,0.0,0.0
9101914055,0.0,0.0,0.0
9101935047,0.0,0.0,0.0
9101954001,0.0,0.0,0.0
9101973914,0.0,0.0,0.0
9101994126,0.0,0.0,0.0
9102004601,0.0,0.0,0.0
9102033901,0.0,0.0,0.0
9102054820,0.0,0.0,0.0
9102074773,0.0,0.0,0.0
9102093587,0.0,0.0,0.0
9102114523,0.0,0.0,0.0
9102134568,0.0,0.0,0.0
9102154473,0.0,0.0,0.0
9102174425,0.0,0.0,0.0
9102186024,0.0,0.0,0.0
9102214471,0.0,0.0,0.0
9102224820,0.0,0.0,0.0
9102254449,0.0,0.0,0.0
9102273905,0.0,0.0,0.0
9102294818,0.0,0.0,0.0
9102314239,0.0,0.0,0.0
