timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,motor_stop_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
9100592633,-0.018878883,0.015408627,0.15287405,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9100602452,-0.018879956,0.015409097,0.16176663,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9100792360,-0.027386619,0.013218455,0.1564757,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9100993021,-0.027401725,0.013223456,0.014348859,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9101194908,-0.027413165,0.013229011,0.0011962416,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9101393562,-0.02743247,0.013233551,-3.434431e-05,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9101593809,-0.027449908,0.013231892,-0.00014962807,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9101794477,-0.027470006,0.013234893,-0.00016050157,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9101994153,-0.02749451,0.013236194,-0.00016166411,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9102186059,-0.027515907,0.013244203,-0.00016197392,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9102394571,-0.027521316,0.01324394,-0.00016211312,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9102594538,-0.027554156,0.013239813,-0.00016218066,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9102785431,-0.027569534,0.013244727,-0.00016229144,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9102986498,-0.027592486,0.013248594,-0.00016249374,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9103187288,-0.027623134,0.013250869,-0.00016269823,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9103385791,-0.027643079,0.01324891,-0.00016281883,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9103587526,-0.027673595,0.0132506415,-0.0001629968,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9103786798,-0.027680112,0.013254385,-0.0001631156,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9103987226,-0.027705839,0.013254977,-0.0001632573,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9104189178,-0.027716616,0.013257184,-0.00016333304,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9104387474,-0.027736774,0.013254,-0.00016342405,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9104589912,-0.027756738,0.013262327,-0.00016364132,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9104788283,-0.027763126,0.013264599,-0.00016374684,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9104988796,-0.027765526,0.013272601,-0.0001638344,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9105190789,-0.027779127,0.013279135,-0.00016397244,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9105389552,-0.027797034,0.013283404,-0.00016411542,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9105591439,-0.02781505,0.013284871,-0.00016428657,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9105790102,-0.027820786,0.013278537,-0.00016432667,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9105989790,-0.027826866,0.013272266,-0.00016427778,0.0,0.0,4.656613e-10,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9106192156,-0.027841087,0.013273668,-0.0001642976,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9106390684,-0.027868925,0.013266557,-0.00016440093,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9106592410,-0.027886355,0.013269252,-0.00016453463,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9106792067,-0.027879266,0.0132701695,-0.00016454827,0.0,0.0,-0.0,0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
9106991666,-0.02789079,0.008281028,-0.00016459379,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9107193568,-0.023320852,9.313226e-10,-0.00016465202,0.0,0.0,-9.313226e-10,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9107392444,-0.012627162,-1.8626451e-09,-0.00016469056,0.0,0.0,-1.8626451e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9107593299,-0.0020229947,0.0,-0.00016474321,0.0,0.0,-3.7252903e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9107793617,-3.7252903e-09,-1.8626451e-09,-2.6193447e-10,0.0,0.0,3.7252903e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9107993595,0.0,-5.5879354e-09,-5.0931703e-09,0.0,0.0,-3.7252903e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9108194726,0.0,-3.7252903e-09,2.910383e-11,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9108394118,3.7252903e-09,0.0,-3.1286618e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9108595031,0.0,0.0,3.5215635e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9108794693,-0.00091154873,3.7252903e-09,-0.00025428084,0.0,0.0,-7.450581e-09,0,0,1,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9108994961,-0.0029413402,0.0,-0.0002618777,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9109185911,-0.0029478818,-7.450581e-09,-0.00026265346,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9109385544,-0.014299735,-3.7252903e-09,-0.0002627912,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9109586349,-0.027235936,3.7252903e-09,-0.00047426135,0.0,0.0,-3.7252903e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9109786617,-0.04731554,0.0011827052,-0.003544779,0.0,0.0,-3.7252903e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9109986977,0.0120687075,0.049893778,0.026312662,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9110186733,0.0696395,0.12080084,0.008863395,0.0,0.0,-1.1175871e-08,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9110386974,-0.09086133,0.19037034,-0.013149118,0.0,0.0,1.8626451e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9110588888,-0.08921028,0.11248326,-0.0057443576,0.0,0.0,3.7252903e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9110787470,-0.07418298,0.085480765,-0.0012324294,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9110987628,-0.04601528,0.04366292,-0.0024225404,0.0,0.0,-3.7252903e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9111188588,0.0030543203,0.005141638,-0.005690746,0.0,0.0,-3.7252903e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9111389277,0.016086858,-7.450581e-09,5.5879354e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9111590297,0.014836645,-7.450581e-09,9.313226e-10,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9111789577,-9.313226e-10,0.0,0.0,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9111989032,7.450581e-09,-3.7252903e-09,-0.030664993,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9112190671,-0.0039394684,-1.1175871e-08,-0.017156634,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9112390381,-0.015829273,-3.7252903e-09,-0.015172289,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9112590385,-0.019483987,0.0,-4.5401976e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9112791281,-0.013486378,1.8626451e-09,-0.0032303028,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9112990534,0.16489948,0.07411372,0.07023017,0.0,0.0,0.0,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9113191717,-0.09781732,-0.008486822,-0.035304733,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9113391755,-0.1623612,-7.450581e-09,-0.009687725,0.0,0.0,-1.4901161e-08,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9113592108,-0.095261015,0.0,0.05035399,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9113793139,-0.12697092,0.003929138,-0.021523453,0.0,0.0,-1.4901161e-08,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9113992666,7.450581e-09,-3.7252903e-09,-1.8626451e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9114194395,0.023156779,7.450581e-09,-0.0035936297,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9114393263,0.11060339,-0.13064355,0.021608338,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9114593279,-0.004294254,2.7939677e-09,1.8626451e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9114794104,0.023879804,-0.014823794,0.021328991,0.0,0.0,0.0,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9114994267,0.059091445,-0.013637222,-0.020344703,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9115184535,2.0954758e-09,-3.7252903e-09,-1.8626451e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9115394627,-1.3969839e-09,0.0,2.7939677e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9115586978,0.0139142275,5.5879354e-09,-0.01509077,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9115785293,0.036065467,-7.450581e-09,1.8626451e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9115985940,0.0,-2.7939677e-09,1.3969839e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9116186031,-1.8626451e-09,0.0,9.313226e-10,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9116386978,-7.450581e-09,3.7252903e-09,4.656613e-10,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9116588262,-0.013177723,-8.614734e-09,1.1641532e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9116787758,0.0,5.5879354e-09,4.4237822e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9116987442,0.0,-1.8626451e-09,2.7939677e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9117187814,0.008736307,-0.015479758,0.01402287,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9117388338,0.017283808,0.0,-0.0033562663,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9117589827,-0.0076129436,-3.7252903e-09,0.0022346862,0.0,0.0,-1.4901161e-08,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9117789342,-0.016573742,1.8626451e-09,-5.355105e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9117989031,-0.06913249,3.7252903e-09,-0.0040798923,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9118189517,-0.02891811,5.122274e-09,0.015995605,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9118389387,0.0,1.8626451e-09,-0.0035416596,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9118590740,0.026435545,0.0,-0.01500762,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9118790786,0.12978676,-0.022200584,-0.021743406,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9118990433,0.09759506,0.0,-0.02088362,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9119192368,-0.040480837,-3.7252903e-09,5.5879354e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9119391166,2.7939677e-09,0.0,0.020040803,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9119591426,-0.033294138,-7.450581e-09,0.097314544,0.0,0.0,0.0,0,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9119792047,-0.03512162,-0.074890316,0.0132462,0.0,0.0,0.0,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9119992533,0.098713815,-0.07988454,0.056373242,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9120193726,0.024374885,-0.046542898,0.024550654,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9120392436,1.8626451e-09,-1.1175871e-08,4.656613e-10,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9120593184,-0.043421734,0.016384162,-0.004972254,0.0,0.0,-1.4901161e-08,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9120794297,-0.09660652,0.024384037,0.020935101,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9120993933,0.0,3.7252903e-09,-2.7939677e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9121194696,0.08391003,-0.026907697,-0.010129452,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9121394498,0.038646307,-0.08066862,0.016113773,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9121594869,-0.042680547,-7.450581e-09,-0.0050484776,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9121785190,-0.26262558,0.09066321,0.012037294,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9121987075,-0.052616373,0.11690115,0.043146282,0.0,0.0,-1.4901161e-08,0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9122185547,0.002591055,-0.051092446,0.012969795,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9122385588,0.12056493,-0.09753126,0.03165716,0.0,0.0,0.0,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9122586705,0.15358947,-0.0434807,0.04760109,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9122786911,-3.7252903e-09,-3.0267984e-09,2.6775524e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9122986591,-0.032958664,0.0,-0.008973837,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9123187946,-0.157242,0.0,-0.028894812,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9123387585,-0.056012727,-3.7252903e-09,-0.00699039,0.0,0.0,0.0,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9123587858,0.11430452,0.0,-0.0064840904,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9123788053,0.06345561,0.0,-0.0043048495,0.0,0.0,-7.450581e-09,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9123988434,-1.8626451e-09,0.0,1.6298145e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9124190287,-0.028658677,-1.4901161e-08,-3.7252903e-09,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9124388652,-0.02291551,7.450581e-09,3.259629e-09,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9124589338,-3.7252903e-09,0.0,-0.0077159293,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9124789598,-3.259629e-09,7.450581e-09,0.011358771,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9124990104,0.039228786,0.0,0.0012741915,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9125190937,-1.8626451e-09,-3.7252903e-09,9.313226e-10,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9125391073,0.020996032,0.0,-0.008225605,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9125590295,-4.307367e-09,-3.259629e-09,3.7252903e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9125791975,0.008002795,-9.313226e-10,0.015314003,0.0,0.0,-1.4901161e-08,0,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9125991618,0.04727733,1.8626451e-09,0.0029088762,0.0,0.0,-1.4901161e-08,0,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
9126192148,3.7252903e-09,-3.7252903e-09,9.313226e-10,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9126392321,0.0,3.7252903e-09,1.8626451e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9126592219,-0.15749213,1.1175871e-08,-0.0017712326,0.0,0.0,-1.4901161e-08,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9126792540,-0.09295272,0.0,0.005278101,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9126992812,0.0,-5.47152e-09,1.8626451e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9127193028,0.18151087,-3.7252903e-09,-2.3283064e-09,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9127394117,0.20201492,7.450581e-09,-0.00542071,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9127594374,0.12568884,3.7252903e-09,-0.002671511,0.0,0.0,-1.4901161e-08,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9127785233,0.22515476,-6.519258e-09,-3.4924597e-10,0.0,0.0,-1.4901161e-08,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9127995203,0.12105867,-3.4924597e-09,-0.0026918682,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9128194535,0.15166563,-7.450581e-09,-0.012873601,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9128385263,3.4924597e-09,3.7252903e-09,-1.8626451e-09,0.0,0.0,0.0,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9128595165,0.0,0.0,-4.656613e-09,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9128786135,-0.034343213,1.8626451e-09,-4.656613e-09,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9128986034,-0.25433767,-1.4901161e-08,0.009744519,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9129187526,-0.23984234,0.0,0.009654703,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9129387075,-0.25902122,-7.450581e-09,0.0006942002,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9129587197,-0.092591316,7.450581e-09,0.0002703773,0.0,0.0,0.0,0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
9129787962,-0.043599635,-1.1175871e-08,-2.7939677e-09,0.0,0.0,-7.450581e-09,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9129987968,3.7252903e-09,-3.7252903e-09,-0.012747422,0.0,0.0,-7.450581e-09,0,0,0,1,0,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9130188781,-0.002803482,-7.450581e-09,-4.656613e-09,0.0,0.0,0.0,0,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9130388944,-3.7252903e-09,0.0,-4.656613e-10,0.0,0.0,-7.450581e-09,0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
9130587903,-0.11461452,7.450581e-09,-0.04523637,0.0,0.0,0.0,0,0,0,1,-2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
