timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],reset_integral
9100592787,-0.12586637,0.10272731,1.1694003,0.0,0.0,-0.0,0
9100602627,-0.12587322,0.10273008,1.1691958,0.0,0.0,-0.0,0
9100612361,-0.12587997,0.1027328,1.1689938,0.0,0.0,-0.0,0
9100623834,-0.12588091,0.10273141,1.1687559,0.0,0.0,-0.0,0
9100632330,-0.12587844,0.10272842,1.16858,0.0,0.0,-0.0,0
9100642029,-0.12588704,0.10273129,1.1683538,0.0,0.0,-0.0,0
9100652367,-0.12592733,0.102726854,1.1678448,0.0,0.0,-0.0,0
9100662907,-0.12596643,0.10271383,1.1673262,0.0,0.0,-0.0,0
9100672279,-0.12600386,0.102710634,1.1668658,0.0,0.0,-0.0,0
9100683683,-0.12604934,0.1027067,1.1663057,0.0,0.0,-0.0,0
9100693429,-0.12607133,0.102707185,1.1658282,0.0,0.0,-0.0,0
9100701840,-0.12610397,0.10270358,1.1654156,0.0,0.0,-0.0,0
9100712281,-0.12614436,0.10269914,1.1649046,0.0,0.0,-0.0,0
9100722762,-0.1261671,0.102698945,1.164392,0.0,0.0,-0.0,0
9100733281,-0.12619077,0.10269944,1.1638772,0.0,0.0,-0.0,0
9100742583,-0.1262114,0.10269967,1.1634233,0.0,0.0,-0.0,0
9100752137,-0.12623209,0.10269949,1.1629575,0.0,0.0,-0.0,0
9100762754,-0.18254426,0.088125594,-0.0008048117,0.0,0.0,-0.0,0
9100772530,-0.18256456,0.088123105,-0.0008046627,0.0,0.0,-0.0,0
9100781934,-0.18257745,0.08812303,-0.0008046627,0.0,0.0,-0.0,0
9100792485,-0.1825622,0.08812293,-0.0008048117,0.0,0.0,-0.0,0
9100804034,-0.18253893,0.08812022,-0.0008045137,0.0,0.0,-0.0,0
9100812524,-0.18253921,0.0881252,-0.0008048117,0.0,0.0,-0.0,0
9100822872,-0.18253803,0.08813048,-0.0008045137,0.0,0.0,-0.0,0
9100832392,-0.18255042,0.08813007,-0.0008048117,0.0,0.0,-0.0,0
9100842968,-0.18255554,0.08813293,-0.0008049607,0.0,0.0,-0.0,0
9100852448,-0.18256846,0.08813282,-0.0008049607,0.0,0.0,-0.0,0
9100862816,-0.18258266,0.08813269,-0.0008049607,0.0,0.0,-0.0,0
9100874452,-0.18258208,0.088139035,-0.00080510974,0.0,0.0,-0.0,0
