timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
9100503726,9100499253,15728642,0.01414214,0.018561548,0.070625,0
9100634260,9100569942,15728642,0.017575687,0.022267058,0.075,0
9100643926,9100639665,15728642,0.03535534,0.028284265,0.070625,0
9100774428,9100709821,15728642,0.021417184,0.021009224,0.07615384,0
9100783930,9100779646,15728642,0.023422917,0.014584073,0.07125,0
9100915196,9100850053,15728642,0.021621155,0.022844983,0.078413464,0
9100924610,9100920576,15728642,0.018119615,0.013700189,0.059375,0
9101055576,9100990220,15728642,0.020635283,0.02233505,0.07947116,0
9101065131,9101060184,15728642,0.023422917,0.014584073,0.067499995,0
9101196957,9101130501,15728642,0.020669278,0.022844985,0.07701924,0
9101204416,9101200736,15728642,0.027400391,0.023864849,0.067499995,0
9101335130,9101270750,15728642,0.022267068,0.020975232,0.07567308,0
9101344937,9101340679,15728642,0.02209709,0.022097081,0.090624996,0
9101475537,9101410867,15728642,0.024442784,0.023286926,0.07639424,0
9101486084,9101481356,15728642,0.025190681,0.026074557,0.074999996,0
9101616147,9101551046,15728642,0.02423881,0.026618488,0.07658654,0
9101626651,9101621015,15728642,0.025190681,0.026074557,0.074999996,0
9101755781,9101691485,15728642,0.02376287,0.0189355,0.075048074,0
9101767251,9101761013,15728642,0.016351847,0.02961009,0.082499996,0
9101896141,9101831426,15728642,0.022878988,0.024102816,0.07519231,0
9101906727,9101901794,15728642,0.0296101,0.020771256,0.086875,0
9102035980,9101971750,15728642,0.023116956,0.023796862,0.07586539,0
9102046404,9102041870,15728642,0.0190035,0.01900349,0.083124995,0
9102176551,9102112031,15728642,0.023898853,0.022471033,0.07322116,0
9102188142,9102182310,15728642,0.019003501,0.019003488,0.086875,0
9102316370,9102252360,15728642,0.02400084,0.027604356,0.07682692,0
9102326895,9102322158,15728642,0.015026023,0.023864849,0.074999996,0
9102456504,9102392463,15728642,0.02665249,0.026856454,0.079423085,0
9102466950,9102462206,15728642,0.018561555,0.027400382,0.074374996,0
9102596568,9102532642,15728642,0.02573461,0.024782727,0.077259615,0
9102607349,9102602857,15728642,0.015909906,0.015909897,0.070625,0
9102737853,9102672839,15728642,0.020941244,0.023048956,0.07774038,0
9102747402,9102743175,15728642,0.028284274,0.02916815,0.07875,0
9102879255,9102813095,15728642,0.022165084,0.024952704,0.076682694,0
9102887720,9102883185,15728642,0.010164663,0.023422908,0.063125,0
9103019533,9102953336,15728642,0.01944544,0.02114521,0.07456731,0
9103027528,9103023102,15728642,0.0035355382,0.010606596,0.070625,0
9103158789,9103093459,15728642,0.022233075,0.020465294,0.07769231,0
9103168294,9103164038,15728642,0.022980973,0.02916815,0.063125,0
