timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
9101156508,40000.0,1.0,0.0,0.0,21,0,0.0,11,0,0,0,0,0.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102158065,40000.0,1.0,1319.7739,0.0,59,0,388.63895,31,0,0,0,0,0.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103157040,40000.0,1.0,1749.4092,0.0,114,0,643.04767,58,0,0,0,0,0.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9104158034,40000.0,1.0,1193.9028,0.0,167,0,480.55838,86,0,0,0,0,0.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9105163692,40000.0,1.0,1725.6946,0.0,206,0,601.8935,107,0,0,0,0,0.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106163563,40000.0,1.0,1181.1166,0.0,242,0,457.65768,127,254,0,0,0,2.0,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107173851,40000.0,1.0,1237.2999,0.0,287,0,457.37158,149,255,0,0,0,1.7114094,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9108154652,40000.0,1.0,1393.4393,0.0,323,0,545.38916,168,509,0,0,0,3.0297618,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9109154854,40000.0,1.0,1234.4321,0.0,362,0,411.81058,185,510,0,0,0,2.7567568,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9110158930,40000.0,1.0,1343.5328,0.0,401,0,411.55057,203,510,0,0,0,2.5123153,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9111166737,40000.0,1.0,1672.8561,0.0,444,0,388.96655,222,764,0,0,0,3.4414415,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9112156146,40000.0,1.0,1492.7251,0.0,480,0,437.3335,240,1019,0,0,0,4.2458334,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113155523,40000.0,1.0,1546.608,0.0,524,0,434.60886,259,1020,0,0,0,3.9382238,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9114160294,40000.0,1.0,1671.8147,0.0,560,0,457.6755,279,1020,0,0,0,3.655914,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9115174547,40000.0,1.0,1554.5764,0.0,599,0,545.1501,301,1020,0,0,0,3.3887043,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9116154035,40000.0,1.0,1505.6301,0.0,637,0,457.28024,321,1020,0,0,0,3.17757,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9117156383,40000.0,1.0,1534.9739,0.0,675,0,457.99222,341,1020,0,0,0,2.9912024,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118163345,40000.0,1.0,1493.7468,0.0,712,0,457.61606,362,1020,0,0,0,2.8176796,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9119160413,40000.0,1.0,1547.1306,0.0,751,0,457.74277,382,1020,0,0,0,2.670157,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9120154925,40000.0,1.0,1493.6752,0.0,788,0,457.59412,401,1021,0,0,0,2.5461347,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9121158541,40000.0,1.0,1586.9985,0.0,828,0,483.6948,423,1275,0,0,0,3.0141845,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9122158958,40000.0,1.0,1507.9834,0.0,866,0,457.99496,443,1275,0,0,0,2.8781037,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9123161196,40000.0,1.0,1533.4144,0.0,904,0,457.52692,463,1275,0,0,0,2.7537796,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9124154741,40000.0,1.0,1494.8356,0.0,941,0,480.9471,483,1275,0,0,0,2.6397514,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9125190763,40000.0,1.0,1547.952,0.0,980,0,457.9858,504,1275,0,0,0,2.5297618,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126156306,40000.0,1.0,1493.8989,0.0,1018,0,457.6627,525,1275,0,0,0,2.4285715,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9127156832,40000.0,1.0,1554.2537,0.0,1056,0,545.0369,545,1275,0,0,0,2.3394496,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9128163270,40000.0,1.0,1475.4629,0.0,1094,0,457.83334,565,1275,0,0,0,2.256637,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9129156339,40000.0,1.0,1566.7054,0.0,1132,0,457.9139,585,1275,0,0,0,2.1794872,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9130155376,40000.0,1.0,1462.0657,0.0,1169,0,457.70752,605,1276,0,0,0,2.1090908,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9131154625,40000.0,1.0,1630.4484,0.0,1210,0,483.24374,626,1531,0,0,0,2.4456868,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9132175378,40000.0,1.0,1461.5327,0.0,1247,0,457.54065,647,1785,0,0,0,2.758887,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9133155724,40000.0,1.0,1565.6051,0.0,1285,0,457.5923,667,1785,0,0,0,2.676162,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9134155618,40000.0,1.0,1473.807,0.0,1323,0,480.28534,687,1785,0,0,0,2.5982533,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9135157215,40000.0,1.0,1566.8152,0.0,1361,0,457.94598,707,1785,0,0,0,2.5247524,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9136157044,40000.0,1.0,1460.9795,0.0,1398,0,457.36746,727,1785,0,0,0,2.4552958,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9137156201,40000.0,1.0,1579.4282,0.0,1439,0,457.83426,747,1785,0,0,0,2.3895583,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9138155608,40000.0,1.0,1549.7296,0.0,1478,0,457.33002,766,2039,0,0,0,2.6618798,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9139158799,40000.0,1.0,1654.9806,0.0,1516,0,411.74637,783,2040,0,0,0,2.605364,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9140160780,40000.0,1.0,1473.701,0.0,1554,0,388.3941,801,2040,0,0,0,2.5468166,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9141185279,40000.0,1.0,1619.8284,0.0,1594,0,437.95358,822,2040,0,0,0,2.481752,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9142157146,40000.0,1.0,1462.8083,0.0,1631,0,457.94,841,2040,0,0,0,2.4256837,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9143163306,40000.0,1.0,1577.8589,0.0,1670,0,457.37933,861,2040,0,0,0,2.369338,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9144241996,40000.0,1.0,1461.7853,0.0,1709,0,457.61972,883,2040,0,0,0,2.3103058,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9145174736,40000.0,1.0,1565.5863,0.0,1745,0,457.5868,902,2040,0,0,0,2.2616408,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9146165411,40000.0,1.0,1497.2874,0.0,1783,0,545.74023,923,2041,0,0,0,2.2112677,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9147157937,40000.0,1.0,1565.5331,0.0,1822,0,480.5497,944,2549,0,0,0,2.7002118,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9148157196,40000.0,1.0,1461.87,0.0,1858,0,457.64624,964,2550,0,0,0,2.6452281,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9149153954,40000.0,1.0,1578.0685,0.0,1898,0,457.4401,984,2550,0,0,0,2.5914633,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9150157082,40000.0,1.0,1551.3174,0.0,1936,0,457.79855,1003,2550,0,0,0,2.542373,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9151154201,40000.0,1.0,1618.4431,0.0,1977,0,437.57904,1021,2551,0,0,0,2.4985309,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9152157137,40000.0,1.0,1465.4955,0.0,2014,0,411.2971,1040,2805,0,0,0,2.6971154,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9153165247,40000.0,1.0,1558.1072,0.0,2053,0,457.7377,1060,2805,0,0,0,2.6462264,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9154153710,40000.0,1.0,1453.3402,0.0,2089,0,457.47754,1080,2805,0,0,0,2.5972223,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9155157625,40000.0,1.0,1354.2891,0.0,2131,0,434.77176,1101,3059,0,0,0,2.7783833,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9156156094,40000.0,1.0,1284.3156,0.0,2167,0,480.74377,1119,3060,0,0,0,2.7345843,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9157158651,40000.0,1.0,1303.7133,0.0,2206,0,411.59375,1137,3060,0,0,0,2.6912928,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9158169943,40000.0,1.0,1240.9938,0.0,2243,0,388.99805,1156,3314,0,0,0,2.866782,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9159157076,40000.0,1.0,1337.6937,0.0,2282,0,457.89514,1176,3315,0,0,0,2.8188775,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9160154397,40000.0,1.0,1434.17,0.0,2318,0,457.41635,1196,3315,0,0,0,2.7717392,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9161156455,40000.0,1.0,1592.57,0.0,2360,0,483.86935,1217,3315,0,0,0,2.7239113,0,0,0,0,1,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
