timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
9100589994,0.0,0.0,0.0,9906,0,-0.44746655,-0.359077,-9.8359375,16776,0,0,0,1
9100599807,0.0,0.0,0.0,9813,0,-0.44746652,-0.35907707,-9.855467,7503,0,0,0,1
9100609428,0.0,0.0,0.0,9621,0,-0.44746655,-0.359077,-9.855469,8203,0,0,0,1
9100619832,0.0,0.0,0.0,10404,0,-0.43927482,-0.35088536,-9.854311,16168,0,0,0,1
9100629611,0.0,0.0,0.0,9779,0,-0.43365592,-0.3452664,-9.833985,6781,0,0,0,1
9100639257,0.0,0.0,0.0,9646,0,-0.44746658,-0.3590771,-9.8359375,8309,0,0,0,1
9100649647,0.0,0.0,0.0,10390,0,-0.43365592,-0.37288773,-9.853516,6720,0,0,0,1
9100659031,0.0,0.0,0.0,9384,0,-0.4135053,-0.365417,-9.824475,16549,0,0,0,1
9100669534,0.0,0.0,0.0,10503,0,-0.43365586,-0.37288767,-9.814451,7413,0,0,0,1
9100679692,0.0,0.0,0.0,10158,0,-0.43365586,-0.37288767,-9.814453,7072,0,0,0,1
9100690097,0.0,0.0,0.0,10405,0,-0.4474666,-0.3590771,-9.825498,16718,0,0,0,1
9100699129,0.0,0.0,0.0,9032,0,-0.43365586,-0.37288773,-9.853516,7788,0,0,0,1
9100709565,0.0,0.0,0.0,10436,0,-0.43365592,-0.37288773,-9.853516,7408,0,0,0,1
9100720029,0.0,0.0,0.0,10464,0,-0.44746658,-0.35907707,-9.855469,7386,0,0,0,1
9100729665,0.0,0.0,0.0,9636,0,-0.44746658,-0.35907707,-9.825081,17237,0,0,0,1
9100739972,0.0,0.0,0.0,10307,0,-0.44746658,-0.35907707,-9.835938,6562,0,0,0,1
9100749566,0.0,0.0,0.0,9594,0,-0.44746658,-0.35907707,-9.855469,7540,0,0,0,1
9100759898,0.0,0.0,0.0,10332,0,-0.44746658,-0.35907707,-9.8359375,7595,0,0,0,1
9100769775,0.0,0.0,0.0,9877,0,-0.42714736,-0.3793963,-9.822738,16585,0,0,0,1
9100779420,0.0,0.0,0.0,9645,0,-0.43365592,-0.37288767,-9.833984,7733,0,0,0,1
9100789535,0.0,0.0,0.0,10115,0,-0.43365592,-0.3452664,-9.833984,6917,0,0,0,1
9100799937,0.0,0.0,0.0,10402,0,-0.4271196,-0.33873004,-9.811456,16880,0,0,0,1
9100809778,0.0,0.0,0.0,9841,0,-0.44746664,-0.35907713,-9.814455,7561,0,0,0,1
9100820357,0.0,0.0,0.0,10579,0,-0.44746658,-0.35907707,-9.855469,8418,0,0,0,1
9100829632,0.0,0.0,0.0,9275,0,-0.43365592,-0.37288773,-9.853514,7560,0,0,0,1
9100840162,0.0,0.0,0.0,10530,0,-0.44157594,-0.3649676,-9.854635,15631,0,0,0,1
9100849852,0.0,0.0,0.0,9690,0,-0.43365586,-0.37288773,-9.833984,7441,0,0,0,1
9100859680,0.0,0.0,0.0,9828,0,-0.43365592,-0.37288773,-9.833982,6933,0,0,0,1
9100870166,0.0,0.0,0.0,10486,0,-0.44746664,-0.35907707,-9.835939,17703,0,0,0,1
9100879093,0.0,0.0,0.0,8927,0,-0.43365592,-0.37288767,-9.833984,6710,0,0,0,1
9100889784,0.0,0.0,0.0,10691,0,-0.43365586,-0.37288767,-9.833984,7605,0,0,0,1
9100899820,0.0,0.0,0.0,10036,0,-0.43365592,-0.37288773,-9.853516,7444,0,0,0,1
9100910561,0.0,0.0,0.0,10741,0,-0.4198452,-0.38669842,-9.851562,16580,0,0,0,1
9100920163,0.0,0.0,0.0,9602,0,-0.43365586,-0.37288773,-9.833984,7385,0,0,0,1
9100930209,0.0,0.0,0.0,10046,0,-0.44746658,-0.35907707,-9.8359375,7078,0,0,0,1
9100940514,0.0,0.0,0.0,10305,0,-0.44746664,-0.35907713,-9.8359375,16719,0,0,0,1
9100949511,0.0,0.0,0.0,8997,0,-0.44746652,-0.35907707,-9.8359375,7851,0,0,0,1
9100960023,0.0,0.0,0.0,10512,0,-0.44746658,-0.35907704,-9.816406,7169,0,0,0,1
9100970229,0.0,0.0,0.0,10206,0,-0.4336559,-0.37288767,-9.833982,7592,0,0,0,1
9100979139,0.0,0.0,0.0,8910,0,-0.44104892,-0.3654947,-9.844105,16226,0,0,0,1
9100990627,0.0,0.0,0.0,11488,0,-0.44746658,-0.35907707,-9.8359375,7786,0,0,0,1
9101000019,0.0,0.0,0.0,9392,0,-0.44746664,-0.35907707,-9.855471,7081,0,0,0,1
9101010510,0.0,0.0,0.0,10491,0,-0.43365592,-0.37288773,-9.853514,7650,0,0,0,1
9101020410,0.0,0.0,0.0,9900,0,-0.4406272,-0.36591646,-9.825111,16130,0,0,0,1
9101029732,0.0,0.0,0.0,9322,0,-0.44746664,-0.35907713,-9.816408,8252,0,0,0,1
9101040116,0.0,0.0,0.0,10384,0,-0.41984522,-0.35907707,-9.835939,7040,0,0,0,1
9101050280,0.0,0.0,0.0,10164,0,-0.43409753,-0.35907704,-9.845389,16041,0,0,0,1
9101060430,0.0,0.0,0.0,10150,0,-0.43365586,-0.37288767,-9.833982,7800,0,0,0,1
9101069972,0.0,0.0,0.0,9542,0,-0.41984516,-0.38669837,-9.8515625,8450,0,0,0,1
9101080197,0.0,0.0,0.0,10225,0,-0.43365592,-0.37288773,-9.833984,7363,0,0,0,1
9101089873,0.0,0.0,0.0,9676,0,-0.4474666,-0.3590771,-9.846414,15728,0,0,0,1
9101100598,0.0,0.0,0.0,10725,0,-0.44746658,-0.35907707,-9.855469,8409,0,0,0,1
9101110671,0.0,0.0,0.0,10073,0,-0.43365598,-0.37288773,-9.853518,6693,0,0,0,1
9101120562,0.0,0.0,0.0,9891,0,-0.40603453,-0.35875517,-9.833984,16089,0,0,0,1
9101130357,0.0,0.0,0.0,9795,0,-0.43365598,-0.34526637,-9.871094,8980,0,0,0,1
9101139905,0.0,0.0,0.0,9548,0,-0.4474666,-0.35907704,-9.853516,7535,0,0,0,1
9101150088,0.0,0.0,0.0,10183,0,-0.45989624,-0.37150675,-9.8359375,6669,0,0,0,1
9101160914,0.0,0.0,0.0,10826,0,-0.4531832,-0.36479372,-9.855469,16542,0,0,0,1
9101170222,0.0,0.0,0.0,9308,0,-0.44746655,-0.359077,-9.835936,7409,0,0,0,1
9101180698,0.0,0.0,0.0,10476,0,-0.44746658,-0.35907707,-9.8359375,7248,0,0,0,1
9101190808,0.0,0.0,0.0,10110,0,-0.41286996,-0.3660523,-9.854481,17384,0,0,0,1
9101199879,0.0,0.0,0.0,9071,0,-0.41984522,-0.38669837,-9.8515625,6856,0,0,0,1
9101210345,0.0,0.0,0.0,10466,0,-0.43365592,-0.37288767,-9.833982,7427,0,0,0,1
9101220350,0.0,0.0,0.0,10005,0,-0.44746658,-0.35907707,-9.816408,7363,0,0,0,1
9101230451,0.0,0.0,0.0,10101,0,-0.43365592,-0.3728878,-9.833985,16364,0,0,0,1
9101240646,0.0,0.0,0.0,10195,0,-0.44746658,-0.35907707,-9.8359375,7569,0,0,0,1
9101250891,0.0,0.0,0.0,10245,0,-0.44746658,-0.35907713,-9.85547,7460,0,0,0,1
9101260240,0.0,0.0,0.0,9349,0,-0.4336558,-0.37288764,-9.853514,7643,0,0,0,1
9101270070,0.0,0.0,0.0,9830,0,-0.42702502,-0.37951857,-9.852578,16327,0,0,0,1
9101280601,0.0,0.0,0.0,10531,0,-0.44746658,-0.35907707,-9.855469,7513,0,0,0,1
9101290576,0.0,0.0,0.0,9975,0,-0.44746658,-0.35907707,-9.855469,7586,0,0,0,1
9101300461,0.0,0.0,0.0,9885,0,-0.44746655,-0.35907704,-9.855469,16248,0,0,0,1
9101310681,0.0,0.0,0.0,10220,0,-0.44746658,-0.35907707,-9.855469,8480,0,0,0,1
9101320284,0.0,0.0,0.0,9603,0,-0.43365592,-0.37288767,-9.853516,8198,0,0,0,1
9101330267,0.0,0.0,0.0,9983,0,-0.4336559,-0.37288773,-9.833984,6339,0,0,0,1
9101340447,0.0,0.0,0.0,10180,0,-0.44746658,-0.35907707,-9.8359375,15748,0,0,0,1
9101350959,0.0,0.0,0.0,10512,0,-0.44746664,-0.35907713,-9.816408,8701,0,0,0,1
9101361174,0.0,0.0,0.0,10215,0,-0.44746652,-0.35907707,-9.835936,6644,0,0,0,1
9101371125,0.0,0.0,0.0,9951,0,-0.42647126,-0.38007233,-9.842339,16393,0,0,0,1
9101380467,0.0,0.0,0.0,9342,0,-0.43365592,-0.37288773,-9.833984,7518,0,0,0,1
9101390969,0.0,0.0,0.0,10502,0,-0.44746658,-0.35907707,-9.855471,8491,0,0,0,1
9101401356,0.0,0.0,0.0,10387,0,-0.44746658,-0.35907707,-9.8359375,7594,0,0,0,1
9101411073,0.0,0.0,0.0,9717,0,-0.42599246,-0.3805512,-9.824207,15585,0,0,0,1
9101420280,0.0,0.0,0.0,9207,0,-0.41984522,-0.38669842,-9.8515625,7392,0,0,0,1
9101430493,0.0,0.0,0.0,10213,0,-0.41984516,-0.38669837,-9.851561,8303,0,0,0,1
9101441501,0.0,0.0,0.0,11008,0,-0.42640194,-0.36563376,-9.844282,16501,0,0,0,1
9101450006,0.0,0.0,0.0,8505,0,-0.41984522,-0.35907707,-9.816406,6940,0,0,0,1
9101460652,0.0,0.0,0.0,10646,0,-0.43365592,-0.34526634,-9.833984,7197,0,0,0,1
9101470890,0.0,0.0,0.0,10238,0,-0.4060346,-0.3452664,-9.853516,7565,0,0,0,1
9101481018,0.0,0.0,0.0,10128,0,-0.4204749,-0.37288776,-9.853515,16429,0,0,0,1
9101490872,0.0,0.0,0.0,9854,0,-0.44746658,-0.35907707,-9.8359375,7602,0,0,0,1
9101501105,0.0,0.0,0.0,10233,0,-0.44746652,-0.359077,-9.8359375,7295,0,0,0,1
9101511319,0.0,0.0,0.0,10214,0,-0.44746658,-0.35907707,-9.85547,16638,0,0,0,1
9101520546,0.0,0.0,0.0,9227,0,-0.44746664,-0.35907713,-9.855469,7561,0,0,0,1
9101531167,0.0,0.0,0.0,10621,0,-0.44746658,-0.35907707,-9.855471,7474,0,0,0,1
9101541397,0.0,0.0,0.0,10230,0,-0.44746658,-0.35907707,-9.8359375,7591,0,0,0,1
9101551085,0.0,0.0,0.0,9688,0,-0.42628336,-0.3802603,-9.843369,16509,0,0,0,1
9101560793,0.0,0.0,0.0,9708,0,-0.41984528,-0.38669848,-9.8515625,7656,0,0,0,1
9101571501,0.0,0.0,0.0,10708,0,-0.43365586,-0.37288767,-9.853514,8407,0,0,0,1
9101580733,0.0,0.0,0.0,9232,0,-0.43365586,-0.37288773,-9.833984,7720,0,0,0,1
9101591442,0.0,0.0,0.0,10709,0,-0.4415955,-0.36494806,-9.835107,15556,0,0,0,1
9101600868,0.0,0.0,0.0,9426,0,-0.44746652,-0.359077,-9.816404,7398,0,0,0,1
9101611251,0.0,0.0,0.0,10383,0,-0.44746658,-0.35907707,-9.8359375,7111,0,0,0,1
9101621197,0.0,0.0,0.0,9946,0,-0.43365592,-0.37288773,-9.843598,15984,0,0,0,1
9101630609,0.0,0.0,0.0,9412,0,-0.44746658,-0.35907707,-9.8359375,8687,0,0,0,1
9101641065,0.0,0.0,0.0,10456,0,-0.44746664,-0.3590771,-9.8359375,7369,0,0,0,1
9101651275,0.0,0.0,0.0,10210,0,-0.43365592,-0.3728878,-9.814455,7419,0,0,0,1
9101660924,0.0,0.0,0.0,9649,0,-0.42725563,-0.379288,-9.833078,15750,0,0,0,1
9101671404,0.0,0.0,0.0,10480,0,-0.43365586,-0.37288767,-9.833982,8407,0,0,0,1
9101681337,0.0,0.0,0.0,9933,0,-0.43365592,-0.37288773,-9.853516,6778,0,0,0,1
9101691951,0.0,0.0,0.0,10614,0,-0.43365586,-0.37288767,-9.84421,16877,0,0,0,1
9101700767,0.0,0.0,0.0,8816,0,-0.43365592,-0.37288773,-9.814453,7758,0,0,0,1
9101711429,0.0,0.0,0.0,10662,0,-0.43365592,-0.3728878,-9.833984,7420,0,0,0,1
9101721638,0.0,0.0,0.0,10209,0,-0.44746658,-0.359077,-9.8359375,7389,0,0,0,1
9101730942,0.0,0.0,0.0,9304,0,-0.43365586,-0.37288773,-9.84466,16576,0,0,0,1
9101740876,0.0,0.0,0.0,9934,0,-0.43365592,-0.3452664,-9.833984,7283,0,0,0,1
9101751134,0.0,0.0,0.0,10258,0,-0.4198452,-0.35907707,-9.832031,8444,0,0,0,1
9101761796,0.0,0.0,0.0,10662,0,-0.44180855,-0.3647352,-9.823609,15358,0,0,0,1
9101771056,0.0,0.0,0.0,9260,0,-0.43365592,-0.37288773,-9.833984,7847,0,0,0,1
9101781685,0.0,0.0,0.0,10629,0,-0.43365592,-0.37288767,-9.853516,7361,0,0,0,1
9101791700,0.0,0.0,0.0,10015,0,-0.44746658,-0.35907707,-9.85547,7392,0,0,0,1
9101801296,0.0,0.0,0.0,9596,0,-0.41216236,-0.36675996,-9.83485,17194,0,0,0,1
9101811064,0.0,0.0,0.0,9768,0,-0.41984528,-0.38669842,-9.8515625,6780,0,0,0,1
9101821583,0.0,0.0,0.0,10519,0,-0.41984522,-0.38669842,-9.851561,8260,0,0,0,1
9101831787,0.0,0.0,0.0,10204,0,-0.41984516,-0.38669837,-9.8515625,7437,0,0,0,1
9101841235,0.0,0.0,0.0,9448,0,-0.4276033,-0.3789403,-9.841688,15742,0,0,0,1
9101851869,0.0,0.0,0.0,10634,0,-0.44746658,-0.35907707,-9.8359375,7176,0,0,0,1
9101861933,0.0,0.0,0.0,10064,0,-0.44746652,-0.359077,-9.855469,7608,0,0,0,1
9101871535,0.0,0.0,0.0,9602,0,-0.43365598,-0.37288773,-9.853516,16332,0,0,0,1
9101881267,0.0,0.0,0.0,9732,0,-0.44746658,-0.35907707,-9.8359375,7469,0,0,0,1
9101891710,0.0,0.0,0.0,10443,0,-0.44746658,-0.35907707,-9.8359375,8629,0,0,0,1
9101902055,0.0,0.0,0.0,10345,0,-0.44746658,-0.35907713,-9.8359375,7387,0,0,0,1
9101911705,0.0,0.0,0.0,9650,0,-0.43365592,-0.3728878,-9.825208,15679,0,0,0,1
9101920949,0.0,0.0,0.0,9244,0,-0.43365586,-0.37288773,-9.833984,8401,0,0,0,1
9101931176,0.0,0.0,0.0,10227,0,-0.4198452,-0.38669837,-9.832031,7086,0,0,0,1
9101942148,0.0,0.0,0.0,10972,0,-0.44079292,-0.36575073,-9.834993,16663,0,0,0,1
9101951642,0.0,0.0,0.0,9494,0,-0.44746652,-0.359077,-9.855467,6774,0,0,0,1
9101962160,0.0,0.0,0.0,10518,0,-0.44746658,-0.35907707,-9.855467,8194,0,0,0,1
9101971342,0.0,0.0,0.0,9182,0,-0.44746652,-0.35907707,-9.855469,7626,0,0,0,1
9101981249,0.0,0.0,0.0,9907,0,-0.43365598,-0.3728878,-9.853517,15557,0,0,0,1
9101991549,0.0,0.0,0.0,10300,0,-0.44746658,-0.35907707,-9.855469,7661,0,0,0,1
9102001792,0.0,0.0,0.0,10243,0,-0.43365586,-0.37288773,-9.853516,7295,0,0,0,1
9102012176,0.0,0.0,0.0,10384,0,-0.42714936,-0.37939432,-9.833065,16641,0,0,0,1
9102021057,0.0,0.0,0.0,8881,0,-0.44746658,-0.359077,-9.855467,7470,0,0,0,1
