timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
9100567659,9100559230,15728642,0.005303304,0.022097081,0.063125,nan,0
9100576146,9100571917,15728642,0.013258257,0.012374363,0.074999996,nan,0
9100654247,9100649857,15728642,0.011048548,0.014584071,0.083124995,nan,0
9100766865,9100759934,15728642,0.01944544,0.01944543,0.070625,nan,0
9100864683,9100860193,15728642,0.032703694,0.024748733,0.07875,nan,0
9100964600,9100959713,15728642,0.020329323,0.038890865,0.08625,nan,0
9101065085,9101060184,15728642,0.023422917,0.014584073,0.067499995,nan,0
9101154916,9101150511,15728642,0.015026025,0.009722713,0.086875,nan,0
9101255501,9101250614,15728642,0.018119615,0.013700188,0.07875,nan,0
9101355577,9101350292,15728642,0.023422917,0.014584073,0.07125,nan,0
9101454644,9101451040,15728642,0.031377867,0.033145625,0.070625,nan,0
9101556763,9101550773,15728642,0.007071072,0.01944543,0.070625,nan,0
9101656107,9101651382,15728642,0.02209709,0.022980966,0.07875,nan,0
9101755740,9101751355,15728642,0.012374375,0.020329315,0.090624996,nan,0
9101856314,9101851418,15728642,0.01944544,0.01944543,0.074999996,nan,0
9101956097,9101951879,15728642,0.025190681,0.026074557,0.067499995,nan,0
9102056897,9102051784,15728642,0.012374373,0.020329315,0.074999996,nan,0
9102156540,9102152130,15728642,0.026074566,0.032261744,0.07875,nan,0
9102256316,9102251919,15728642,0.025190681,0.026074557,0.090624996,nan,0
9102356417,9102352218,15728642,0.025190681,0.026074557,0.083124995,nan,0
9102456464,9102452875,15728642,0.0243068,0.03402951,0.082499996,nan,0
9102557488,9102552586,15728642,0.022980973,0.02916815,0.067499995,nan,0
9102657447,9102652937,15728642,0.0190035,0.01900349,0.083124995,nan,0
9102757815,9102753321,15728642,0.015467965,0.023422906,0.082499996,nan,0
9102857098,9102853112,15728642,0.02165515,0.030493975,0.07875,nan,0
9102958118,9102953431,15728642,0.005745248,0.008396887,0.083124995,nan,0
9103058122,9103053428,15728642,0.01679379,0.022097081,0.070625,nan,0
9103158747,9103153656,15728642,0.022980975,0.0141421305,0.083124995,nan,0
9103258360,9103253857,15728642,0.01944544,0.033587568,0.070625,nan,0
9103358431,9103353707,15728642,0.02165515,0.030493975,0.082499996,nan,0
9103457757,9103453772,15728642,0.02209709,0.022980966,0.063125,nan,0
9103558687,9103554288,15728642,0.019887382,0.011048539,0.07125,nan,0
9103660347,9103654561,15728642,0.020329325,0.010606596,0.079375,nan,0
9103759338,9103754853,15728642,0.017235734,0.021655139,0.090624996,nan,0
9103859034,9103854343,15728642,0.013258257,0.012374363,0.074999996,nan,0
9103958950,9103954561,15728642,0.023422915,0.028726207,0.074374996,nan,0
9104059414,9104055023,15728642,0.029168157,0.007071062,0.074999996,nan,0
9104160905,9104154914,15728642,0.012816316,0.011932421,0.091249995,nan,0
9104260537,9104255247,15728642,0.023422917,0.014584073,0.071875,nan,0
9104360055,9104355141,15728642,0.020329325,0.010606595,0.0875,nan,0
9104459548,9104456657,15728642,0.027400391,0.023864849,0.074999996,nan,0
9104559977,9104555783,15728642,0.019003497,0.019887373,0.067499995,nan,0
9104661536,9104655544,15728642,0.025190681,0.0119324215,0.083124995,nan,0
9104760897,9104756216,15728642,0.0243068,0.019887373,0.07875,nan,0
9104861210,9104855905,15728642,0.0243068,0.019887373,0.083124995,nan,0
9104961102,9104956699,15728642,0.029168157,0.021213198,0.070625,nan,0
9105060350,9105056563,15728642,0.028284274,0.030052034,0.070625,nan,0
9105163423,9105156818,15728642,0.025190681,0.026074557,0.074999996,nan,0
9105262051,9105257148,15728642,0.01414214,0.018561548,0.07125,nan,0
9105361488,9105356767,15728642,0.023422917,0.014584073,0.071875,nan,0
9105461675,9105457660,15728642,0.019003497,0.019887375,0.063125,nan,0
9105561852,9105557448,15728642,0.025190681,0.026074557,0.074999996,nan,0
9105663506,9105657110,15728642,0.027400391,0.023864849,0.083124995,nan,0
9105762503,9105757807,15728642,0.015026023,0.023864849,0.07875,nan,0
9105862326,9105857444,15728642,0.020329325,0.024748733,0.086875,nan,0
9105962489,9105958453,15728642,0.026516508,0.017677665,0.074999996,nan,0
9106062131,9106058530,15728642,0.017235732,0.021655139,0.07875,nan,0
9106163901,9106158095,15728642,0.016351849,0.015467953,0.086875,nan,0
9106263276,9106258157,15728642,0.014142139,0.004419414,0.059375,nan,0
9106363115,9106358232,15728642,0.01414214,0.018561548,0.07125,nan,0
9106463299,9106458744,15728642,0.02165515,0.030493975,0.082499996,nan,0
9106562968,9106558782,15728642,0.015026023,0.023864849,0.074999996,nan,0
9106664505,9106658901,15728642,0.031377867,0.033145625,0.074374996,nan,0
9106763991,9106759300,15728642,0.020329325,0.024748733,0.086875,nan,0
9106864109,9106858788,15728642,0.015467965,0.023422906,0.082499996,nan,0
9106964376,9106960156,15728642,0.020329323,0.025632614,0.067499995,nan,0
9107064239,9107059832,15728642,0.0243068,0.03402951,0.07125,nan,0
9107154745,9107150056,15728642,0.0243068,0.03402951,0.07875,nan,0
9107264938,9107260257,15728642,0.025190681,0.0119324215,0.079375,nan,0
9107364928,9107360041,15728642,0.026516508,0.017677665,0.07875,nan,0
9107465084,9107460894,15728642,0.019887382,0.025190674,0.074999996,nan,0
9107556559,9107550145,15728642,0.011932431,0.0013258208,0.074999996,nan,0
9107655370,9107650859,15728642,0.027400391,0.022980964,0.091249995,nan,0
9107754888,9107750501,15728642,0.01414214,0.018561548,0.074999996,nan,0
9107855569,9107850677,15728642,0.013258257,0.012374363,0.074999996,nan,0
9107955768,9107951270,15728642,0.033587575,0.030935917,0.067499995,nan,0
9108057045,9108051021,15728642,0.0243068,0.019887371,0.090624996,nan,0
9108158714,9108151427,15728642,0.018119615,0.013700188,0.07125,nan,0
9108255565,9108251182,15728642,0.026516508,0.017677665,0.07875,nan,0
9108356107,9108352119,15728642,0.030493984,0.032261744,0.082499996,nan,0
9108456156,9108451751,15728642,0.029168157,0.021213198,0.07125,nan,0
9108558087,9108551696,15728642,0.017235732,0.0075130058,0.071875,nan,0
9108656382,9108652197,15728642,0.010164665,0.022539023,0.090624996,nan,0
9108756994,9108752101,15728642,0.01414214,0.018561548,0.07875,nan,0
9108856565,9108852575,15728642,0.01679379,0.022097081,0.07125,nan,0
9108957202,9108952713,15728642,0.01944544,0.01944543,0.07125,nan,0
9109058066,9109052574,15728642,0.030493984,0.026958441,0.07875,nan,0
9109157694,9109153169,15728642,0.00883884,0.01679378,0.083124995,nan,0
9109257396,9109253008,15728642,0.027400391,0.023864849,0.083124995,nan,0
9109357201,9109353203,15728642,0.023422917,0.014584073,0.079375,nan,0
9109457588,9109454894,15728642,0.01944544,0.033587568,0.066874996,nan,0
9109559052,9109553456,15728642,0.018561555,0.027400382,0.07875,nan,0
9109659151,9109654243,15728642,0.021213207,0.016793782,0.083124995,nan,0
9109759155,9109753662,15728642,0.021213207,0.016793782,0.074999996,nan,0
9109857977,9109854187,15728642,0.017235732,0.021655139,0.083124995,nan,0
9109958477,9109953963,15728642,0.018561555,0.027400382,0.07125,nan,0
9110059743,9110055353,15728642,0.013258257,0.026516499,0.082499996,nan,0
9110159264,9110154734,15728642,0.02165515,0.030493975,0.094375,nan,0
9110259192,9110254776,15728642,0.026516508,0.0318198,0.086875,nan,0
9110358705,9110354312,15728642,0.041100588,0.03402951,0.07875,nan,0
9110459296,9110454809,15728642,0.05435884,0.05435883,0.074374996,nan,0
9110559521,9110555130,15728642,0.048171654,0.046403874,0.09375,nan,0
9110660686,9110655097,15728642,0.05259107,0.0561266,0.09375,nan,0
9110759981,9110755490,15728642,0.062313784,0.05701048,0.101875,nan,0
9110860105,9110855409,15728642,0.05435884,0.053474944,0.09375,nan,0
9110960327,9110955432,15728642,0.06010408,0.06010407,0.082499996,nan,0
