timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
9100592768,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100602615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100612352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100623816,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100632322,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100642018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100652359,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100662898,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100672270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100683675,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100693410,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100701832,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100712272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100722753,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100733272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100742574,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100752128,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0
9100762744,0.0,0.83247584,0.0,0.0,-0.55406135,0.0,0.0,-0.0
9100772521,0.0,0.8326114,0.0,0.0,-0.5538576,0.0,0.0,-0.0
9100781926,0.0,0.8327111,0.0,0.0,-0.5537077,0.0,0.0,-0.0
9100792478,0.0,0.8328979,0.0,0.0,-0.5534266,0.0,0.0,-0.0
9100804022,0.0,0.8331017,0.0,0.0,-0.55311984,0.0,0.0,-0.0
9100812515,0.0,0.83325183,0.0,0.0,-0.5528937,0.0,0.0,-0.0
9100822863,0.0,0.83343416,0.0,0.0,-0.5526188,0.0,0.0,-0.0
9100832384,0.0,0.83360153,0.0,0.0,-0.55236626,0.0,0.0,-0.0
9100842959,0.0,0.8337873,0.0,0.0,-0.55208576,0.0,0.0,-0.0
9100852439,0.0,0.8339536,0.0,0.0,-0.5518346,0.0,0.0,-0.0
9100862807,0.0,0.8341352,0.0,0.0,-0.55156004,0.0,0.0,-0.0
9100874442,0.0,0.83433867,0.0,0.0,-0.5512522,0.0,0.0,-0.0
9100881797,0.0,0.83446705,0.0,0.0,-0.5510578,0.0,0.0,-0.0
9100892388,0.0,0.83465177,0.0,0.0,-0.55077803,0.0,0.0,-0.0
9100902766,0.0,0.83483243,0.0,0.0,-0.5505042,0.0,0.0,-0.0
9100913251,0.0,0.83501464,0.0,0.0,-0.5502277,0.0,0.0,-0.0
9100922668,0.0,0.83510035,0.0,0.0,-0.5500976,0.0,0.0,-0.0
9100934272,0.0,0.8352678,0.0,0.0,-0.54984343,0.0,0.0,-0.0
9100943830,0.0,0.83540535,0.0,0.0,-0.54963434,0.0,0.0,-0.0
9100952259,0.0,0.83552676,0.0,0.0,-0.5494498,0.0,0.0,-0.0
9100962732,0.0,0.8356772,0.0,0.0,-0.54922086,0.0,0.0,-0.0
9100973144,0.0,0.83582664,0.0,0.0,-0.54899347,0.0,0.0,-0.0
9100982695,0.0,0.8359634,0.0,0.0,-0.54878515,0.0,0.0,-0.0
9100993136,0.0,0.83611286,0.0,0.0,-0.54855746,0.0,0.0,-0.0
9101002805,0.0,0.83625096,0.0,0.0,-0.5483469,0.0,0.0,-0.0
9101013239,0.0,0.8363998,0.0,0.0,-0.5481199,0.0,0.0,-0.0
9101022922,0.0,0.8365377,0.0,0.0,-0.5479093,0.0,0.0,-0.0
9101032451,0.0,0.83667326,0.0,0.0,-0.5477023,0.0,0.0,-0.0
9101043051,0.0,0.83682394,0.0,0.0,-0.5474721,0.0,0.0,-0.0
9101053630,0.0,0.836974,0.0,0.0,-0.5472426,0.0,0.0,-0.0
9101063207,0.0,0.8370549,0.0,0.0,-0.5471189,0.0,0.0,-0.0
9101072753,0.0,0.8372174,0.0,0.0,-0.54687023,0.0,0.0,-0.0
9101083118,0.0,0.83739346,0.0,0.0,-0.5466006,0.0,0.0,-0.0
9101092560,0.0,0.8375537,0.0,0.0,-0.546355,0.0,0.0,-0.0
9101103151,0.0,0.8377332,0.0,0.0,-0.54607975,0.0,0.0,-0.0
9101113629,0.0,0.8379104,0.0,0.0,-0.5458078,0.0,0.0,-0.0
9101124140,0.0,0.838088,0.0,0.0,-0.5455351,0.0,0.0,-0.0
9101133097,0.0,0.83823913,0.0,0.0,-0.54530275,0.0,0.0,-0.0
9101142705,0.0,0.83840084,0.0,0.0,-0.54505414,0.0,0.0,-0.0
9101153012,0.0,0.8385743,0.0,0.0,-0.5447872,0.0,0.0,-0.0
9101163666,0.0,0.8387532,0.0,0.0,-0.54451174,0.0,0.0,-0.0
9101172908,0.0,0.8389082,0.0,0.0,-0.5442729,0.0,0.0,-0.0
9101184538,0.0,0.839103,0.0,0.0,-0.54397255,0.0,0.0,-0.0
9101195031,0.0,0.8392782,0.0,0.0,-0.5437022,0.0,0.0,-0.0
9101202435,0.0,0.8393365,0.0,0.0,-0.5436122,0.0,0.0,-0.0
9101212873,0.0,0.8394582,0.0,0.0,-0.54342425,0.0,0.0,-0.0
9101223278,0.0,0.8395794,0.0,0.0,-0.54323703,0.0,0.0,-0.0
9101233775,0.0,0.8397014,0.0,0.0,-0.5430484,0.0,0.0,-0.0
9101243184,0.0,0.83981067,0.0,0.0,-0.5428794,0.0,0.0,-0.0
9101253652,0.0,0.83993214,0.0,0.0,-0.5426914,0.0,0.0,-0.0
9101262915,0.0,0.84003943,0.0,0.0,-0.5425253,0.0,0.0,-0.0
9101272591,0.0,0.84015125,0.0,0.0,-0.54235214,0.0,0.0,-0.0
9101283124,0.0,0.84027296,0.0,0.0,-0.54216355,0.0,0.0,-0.0
9101293463,0.0,0.8403923,0.0,0.0,-0.5419786,0.0,0.0,-0.0
9101303982,0.0,0.84051347,0.0,0.0,-0.5417906,0.0,0.0,-0.0
9101313361,0.0,0.8406214,0.0,0.0,-0.5416232,0.0,0.0,-0.0
9101322795,0.0,0.84072983,0.0,0.0,-0.54145485,0.0,0.0,-0.0
9101333147,0.0,0.8408486,0.0,0.0,-0.5412704,0.0,0.0,-0.0
9101343011,0.0,0.8409492,0.0,0.0,-0.5411141,0.0,0.0,-0.0
9101353702,0.0,0.8410471,0.0,0.0,-0.5409619,0.0,0.0,-0.0
9101364117,0.0,0.8411424,0.0,0.0,-0.5408137,0.0,0.0,-0.0
9101374730,0.0,0.8412393,0.0,0.0,-0.540663,0.0,0.0,-0.0
9101383234,0.0,0.8413168,0.0,0.0,-0.5405423,0.0,0.0,-0.0
9101393665,0.0,0.8414119,0.0,0.0,-0.5403943,0.0,0.0,-0.0
9101404161,0.0,0.84150743,0.0,0.0,-0.5402456,0.0,0.0,-0.0
9101413604,0.0,0.84159315,0.0,0.0,-0.540112,0.0,0.0,-0.0
9101422958,0.0,0.84167796,0.0,0.0,-0.5399798,0.0,0.0,-0.0
9101434520,0.0,0.84178275,0.0,0.0,-0.5398165,0.0,0.0,-0.0
9101445309,0.0,0.8418804,0.0,0.0,-0.53966415,0.0,0.0,-0.0
9101452738,0.0,0.8419477,0.0,0.0,-0.53955925,0.0,0.0,-0.0
9101463198,0.0,0.8420422,0.0,0.0,-0.53941166,0.0,0.0,-0.0
9101473646,0.0,0.84213644,0.0,0.0,-0.53926444,0.0,0.0,-0.0
9101484155,0.0,0.84224033,0.0,0.0,-0.5391022,0.0,0.0,-0.0
9101493586,0.0,0.84232175,0.0,0.0,-0.53897506,0.0,0.0,-0.0
9101504135,0.0,0.84241265,0.0,0.0,-0.5388329,0.0,0.0,-0.0
9101515486,0.0,0.84251046,0.0,0.0,-0.53867996,0.0,0.0,-0.0
9101523165,0.0,0.84257644,0.0,0.0,-0.5385768,0.0,0.0,-0.0
9101533762,0.0,0.8426674,0.0,0.0,-0.53843445,0.0,0.0,-0.0
9101544389,0.0,0.84275866,0.0,0.0,-0.5382916,0.0,0.0,-0.0
9101554902,0.0,0.8428486,0.0,0.0,-0.5381507,0.0,0.0,-0.0
9101563309,0.0,0.8429205,0.0,0.0,-0.53803813,0.0,0.0,-0.0
9101574040,0.0,0.8430122,0.0,0.0,-0.53789437,0.0,0.0,-0.0
9101583456,0.0,0.84309256,0.0,0.0,-0.5377685,0.0,0.0,-0.0
9101593919,0.0,0.84318185,0.0,0.0,-0.5376285,0.0,0.0,-0.0
9101603363,0.0,0.84326214,0.0,0.0,-0.53750247,0.0,0.0,-0.0
9101614135,0.0,0.84335387,0.0,0.0,-0.53735864,0.0,0.0,-0.0
9101624731,0.0,0.84343404,0.0,0.0,-0.53723276,0.0,0.0,-0.0
9101633097,0.0,0.843505,0.0,0.0,-0.53712124,0.0,0.0,-0.0
9101643590,0.0,0.84359396,0.0,0.0,-0.5369816,0.0,0.0,-0.0
9101654237,0.0,0.84368396,0.0,0.0,-0.53684014,0.0,0.0,-0.0
9101663622,0.0,0.84376335,0.0,0.0,-0.5367154,0.0,0.0,-0.0
9101674138,0.0,0.8438521,0.0,0.0,-0.53657585,0.0,0.0,-0.0
9101685580,0.0,0.8439485,0.0,0.0,-0.5364242,0.0,0.0,-0.0
9101695046,0.0,0.84402823,0.0,0.0,-0.53629875,0.0,0.0,-0.0
9101703485,0.0,0.8440992,0.0,0.0,-0.536187,0.0,0.0,-0.0
9101713929,0.0,0.84418684,0.0,0.0,-0.53604907,0.0,0.0,-0.0
9101724353,0.0,0.84427434,0.0,0.0,-0.5359112,0.0,0.0,-0.0
9101734962,0.0,0.8443632,0.0,0.0,-0.53577125,0.0,0.0,-0.0
9101743407,0.0,0.8444339,0.0,0.0,-0.53565973,0.0,0.0,-0.0
9101753902,0.0,0.8445217,0.0,0.0,-0.5355214,0.0,0.0,-0.0
9101765265,0.0,0.84466153,0.0,0.0,-0.5353008,0.0,0.0,-0.0
9101773739,0.0,0.8446623,0.0,0.0,-0.53529954,0.0,0.0,-0.0
9101784226,0.0,0.8446632,0.0,0.0,-0.53529817,0.0,0.0,-0.0
9101794580,0.0,0.84466416,0.0,0.0,-0.5352966,0.0,0.0,-0.0
9101805108,0.0,0.84466505,0.0,0.0,-0.53529525,0.0,0.0,-0.0
9101813597,0.0,0.84466577,0.0,0.0,-0.53529406,0.0,0.0,-0.0
9101824145,0.0,0.84466666,0.0,0.0,-0.5352926,0.0,0.0,-0.0
9101834494,0.0,0.8446675,0.0,0.0,-0.5352913,0.0,0.0,-0.0
9101843967,0.0,0.8446684,0.0,0.0,-0.53528994,0.0,0.0,-0.0
9101854465,0.0,0.84466934,0.0,0.0,-0.53528845,0.0,0.0,-0.0
9101864867,0.0,0.8446703,0.0,0.0,-0.5352869,0.0,0.0,-0.0
9101875351,0.0,0.84467113,0.0,0.0,-0.5352856,0.0,0.0,-0.0
9101883773,0.0,0.84467196,0.0,0.0,-0.53528434,0.0,0.0,-0.0
9101894216,0.0,0.8446729,0.0,0.0,-0.5352828,0.0,0.0,-0.0
9101904841,0.0,0.8447581,0.0,0.0,-0.5351483,0.0,0.0,-0.0
9101914200,0.0,0.8448908,0.0,0.0,-0.5349389,0.0,0.0,-0.0
9101923631,0.0,0.8450243,0.0,0.0,-0.53472793,0.0,0.0,-0.0
9101935213,0.0,0.845188,0.0,0.0,-0.5344691,0.0,0.0,-0.0
9101945750,0.0,0.8453367,0.0,0.0,-0.5342339,0.0,0.0,-0.0
9101954158,0.0,0.8454552,0.0,0.0,-0.5340463,0.0,0.0,-0.0
9101964647,0.0,0.8456029,0.0,0.0,-0.5338124,0.0,0.0,-0.0
9101974055,0.0,0.8457352,0.0,0.0,-0.53360283,0.0,0.0,-0.0
9101984531,0.0,0.8458822,0.0,0.0,-0.5333698,0.0,0.0,-0.0
9101994283,0.0,0.8460189,0.0,0.0,-0.5331529,0.0,0.0,-0.0
9102004773,0.0,0.8461658,0.0,0.0,-0.53291976,0.0,0.0,-0.0
9102016193,0.0,0.8463254,0.0,0.0,-0.53266627,0.0,0.0,-0.0
9102023542,0.0,0.84642786,0.0,0.0,-0.53250337,0.0,0.0,-0.0
9102034039,0.0,0.8465743,0.0,0.0,-0.53227055,0.0,0.0,-0.0
9102044510,0.0,0.84665936,0.0,0.0,-0.53213525,0.0,0.0,-0.0
9102054954,0.0,0.8467471,0.0,0.0,-0.53199565,0.0,0.0,-0.0
9102064315,0.0,0.8468258,0.0,0.0,-0.5318704,0.0,0.0,-0.0
9102074916,0.0,0.8469145,0.0,0.0,-0.53172904,0.0,0.0,-0.0
9102084331,0.0,0.8469934,0.0,0.0,-0.53160346,0.0,0.0,-0.0
9102093720,0.0,0.8470719,0.0,0.0,-0.5314783,0.0,0.0,-0.0
9102104258,0.0,0.84715986,0.0,0.0,-0.5313381,0.0,0.0,-0.0
9102114654,0.0,0.84724647,0.0,0.0,-0.53119993,0.0,0.0,-0.0
9102126097,0.0,0.84734184,0.0,0.0,-0.5310479,0.0,0.0,-0.0
9102134726,0.0,0.84741354,0.0,0.0,-0.5309334,0.0,0.0,-0.0
9102144125,0.0,0.84749174,0.0,0.0,-0.53080857,0.0,0.0,-0.0
9102154657,0.0,0.8475792,0.0,0.0,-0.5306689,0.0,0.0,-0.0
9102165160,0.0,0.84766626,0.0,0.0,-0.5305298,0.0,0.0,-0.0
9102174557,0.0,0.8477441,0.0,0.0,-0.5304054,0.0,0.0,-0.0
9102186173,0.0,0.847853,0.0,0.0,-0.53023136,0.0,0.0,-0.0
9102196801,0.0,0.84794044,0.0,0.0,-0.5300915,0.0,0.0,-0.0
9102204171,0.0,0.848001,0.0,0.0,-0.52999455,0.0,0.0,-0.0
9102214608,0.0,0.8480867,0.0,0.0,-0.52985746,0.0,0.0,-0.0
9102224942,0.0,0.8481714,0.0,0.0,-0.52972186,0.0,0.0,-0.0
9102235457,0.0,0.8482575,0.0,0.0,-0.52958405,0.0,0.0,-0.0
9102244565,0.0,0.84833187,0.0,0.0,-0.52946484,0.0,0.0,-0.0
9102254645,0.0,0.84841406,0.0,0.0,-0.5293331,0.0,0.0,-0.0
9102266011,0.0,0.84850687,0.0,0.0,-0.52918434,0.0,0.0,-0.0
9102274060,0.0,0.84857243,0.0,0.0,-0.52907926,0.0,0.0,-0.0
9102284500,0.0,0.8486574,0.0,0.0,-0.5289429,0.0,0.0,-0.0
9102294945,0.0,0.8487423,0.0,0.0,-0.5288066,0.0,0.0,-0.0
9102305437,0.0,0.8488274,0.0,0.0,-0.5286701,0.0,0.0,-0.0
9102314433,0.0,0.8489004,0.0,0.0,-0.5285529,0.0,0.0,-0.0
9102324977,0.0,0.848966,0.0,0.0,-0.52844745,0.0,0.0,-0.0
9102335324,0.0,0.8489791,0.0,0.0,-0.5284264,0.0,0.0,-0.0
9102344897,0.0,0.8489912,0.0,0.0,-0.528407,0.0,0.0,-0.0
9102354518,0.0,0.8490034,0.0,0.0,-0.5283875,0.0,0.0,-0.0
9102364870,0.0,0.8490164,0.0,0.0,-0.5283664,0.0,0.0,-0.0
9102375785,0.0,0.84903026,0.0,0.0,-0.5283442,0.0,0.0,-0.0
9102385255,0.0,0.8490422,0.0,0.0,-0.52832514,0.0,0.0,-0.0
9102394678,0.0,0.84905404,0.0,0.0,-0.528306,0.0,0.0,-0.0
9102405076,0.0,0.8490671,0.0,0.0,-0.528285,0.0,0.0,-0.0
9102414705,0.0,0.8490792,0.0,0.0,-0.5282656,0.0,0.0,-0.0
9102425121,0.0,0.84909225,0.0,0.0,-0.5282447,0.0,0.0,-0.0
9102436562,0.0,0.84910643,0.0,0.0,-0.5282218,0.0,0.0,-0.0
9102446162,0.0,0.8491185,0.0,0.0,-0.5282025,0.0,0.0,-0.0
9102454577,0.0,0.8491289,0.0,0.0,-0.5281856,0.0,0.0,-0.0
9102464999,0.0,0.8492141,0.0,0.0,-0.5280487,0.0,0.0,-0.0
9102475434,0.0,0.8492402,0.0,0.0,-0.52800673,0.0,0.0,-0.0
9102484949,0.0,0.84926397,0.0,0.0,-0.52796847,0.0,0.0,-0.0
9102494999,0.0,0.8492891,0.0,0.0,-0.52792805,0.0,0.0,-0.0
9102505531,0.0,0.84931535,0.0,0.0,-0.5278858,0.0,0.0,-0.0
9102517205,0.0,0.84934455,0.0,0.0,-0.5278388,0.0,0.0,-0.0
9102524774,0.0,0.8493634,0.0,0.0,-0.52780855,0.0,0.0,-0.0
9102535307,0.0,0.84938955,0.0,0.0,-0.5277664,0.0,0.0,-0.0
9102545875,0.0,0.84941584,0.0,0.0,-0.5277241,0.0,0.0,-0.0
9102555521,0.0,0.8494398,0.0,0.0,-0.5276855,0.0,0.0,-0.0
9102564970,0.0,0.84946316,0.0,0.0,-0.5276479,0.0,0.0,-0.0
9102575523,0.0,0.8494893,0.0,0.0,-0.52760583,0.0,0.0,-0.0
9102585095,0.0,0.84951293,0.0,0.0,-0.5275678,0.0,0.0,-0.0
9102594657,0.0,0.8495366,0.0,0.0,-0.52752966,0.0,0.0,-0.0
9102605115,0.0,0.84962857,0.0,0.0,-0.52738154,0.0,0.0,-0.0
9102615956,0.0,0.8497156,0.0,0.0,-0.5272413,0.0,0.0,-0.0
9102625080,0.0,0.8497888,0.0,0.0,-0.52712333,0.0,0.0,-0.0
9102635686,0.0,0.8498738,0.0,0.0,-0.52698624,0.0,0.0,-0.0
9102645141,0.0,0.8499494,0.0,0.0,-0.5268643,0.0,0.0,-0.0
9102655570,0.0,0.85003275,0.0,0.0,-0.5267298,0.0,0.0,-0.0
9102665697,0.0,0.8501136,0.0,0.0,-0.5265994,0.0,0.0,-0.0
9102675161,0.0,0.850189,0.0,0.0,-0.52647763,0.0,0.0,-0.0
9102686519,0.0,0.85027945,0.0,0.0,-0.52633154,0.0,0.0,-0.0
9102697169,0.0,0.85036397,0.0,0.0,-0.52619493,0.0,0.0,-0.0
9102704644,0.0,0.8504233,0.0,0.0,-0.52609915,0.0,0.0,-0.0
9102715039,0.0,0.85050577,0.0,0.0,-0.52596575,0.0,0.0,-0.0
9102725431,0.0,0.85058796,0.0,0.0,-0.5258327,0.0,0.0,-0.0
9102735929,0.0,0.85067105,0.0,0.0,-0.52569836,0.0,0.0,-0.0
9102745545,0.0,0.8507341,0.0,0.0,-0.5255963,0.0,0.0,-0.0
9102755881,0.0,0.85081327,0.0,0.0,-0.5254681,0.0,0.0,-0.0
9102767524,0.0,0.8509024,0.0,0.0,-0.5253238,0.0,0.0,-0.0
9102775082,0.0,0.8509602,0.0,0.0,-0.52523017,0.0,0.0,-0.0
9102785570,0.0,0.85104024,0.0,0.0,-0.52510047,0.0,0.0,-0.0
9102795932,0.0,0.8511192,0.0,0.0,-0.5249724,0.0,0.0,-0.0
9102806457,0.0,0.85119945,0.0,0.0,-0.5248424,0.0,0.0,-0.0
9102815892,0.0,0.85127115,0.0,0.0,-0.52472603,0.0,0.0,-0.0
