timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
9100476273,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9100931126,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9101164978,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9101569255,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9102074997,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9102580827,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9103086406,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9103592298,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9104097397,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9104118623,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9104624735,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9105130641,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9105636225,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9106142520,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9106647933,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9106869986,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9106880314,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9107386813,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9107892074,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9108398126,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9108903436,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9109409533,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9109914639,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9110421043,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9110926481,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9111432951,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9111938123,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9112444400,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9112950316,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9113457379,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9113962815,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9114367898,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9114873303,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9115379535,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9115884372,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9116390681,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9116895917,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9117402530,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9117907745,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9118413682,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9118918803,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9119425556,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9119930587,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9120436882,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9120941985,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9121448541,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9121954027,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9122460424,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9122965325,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9123472063,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9123977067,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9124484277,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9124989486,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9125495467,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9125859333,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9126366290,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9126871364,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9127377890,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9127883368,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9128390431,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9128895555,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9129402139,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9129907307,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9130413773,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9130918997,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9131426018,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9131932614,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9132437616,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9132944064,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9133449617,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9133956061,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9134461829,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9134968335,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9135473989,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9135979552,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
9136485303,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0
