timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
9106937011,9106921096,6845961,202.66957,98914.28,15.0,1.1956586,0,0
9106999517,9106999227,6845961,202.68365,98914.086,15.0,1.1956562,0,0
9107093394,9107069612,6845961,202.69305,98914.01,15.0,1.1956552,0,0
9107187004,9107155499,6845961,202.67427,98914.22,15.0,1.1956577,0,0
9107296399,9107264883,6845961,202.67897,98914.14,15.0,1.1956569,0,0
9107374524,9107342963,6845961,202.67897,98914.16,15.0,1.195657,0,0
9107484041,9107452406,6845961,202.65079,98914.445,15.0,1.1956605,0,0
9107562003,9107538350,6845961,202.65079,98914.47,15.0,1.1956608,0,0
9107671383,9107639841,6845961,202.70714,98913.83,15.0,1.1956531,0,0
9107749512,9107725800,6845961,202.65549,98914.42,15.0,1.1956604,0,0
9107812025,9107811712,6845961,202.6461,98914.555,15.0,1.1956619,0,0
9107890132,9107874214,6845961,202.65549,98914.44,15.0,1.1956605,0,0
9107999512,9107967984,6845961,202.70244,98913.91,15.0,1.195654,0,0
9108077726,9108061749,6845961,202.69305,98914.01,15.0,1.1956552,0,0
9108187002,9108155463,6845961,202.71652,98913.69,15.0,1.1956514,0,0
9108265119,9108249218,6845961,202.70714,98913.82,15.0,1.195653,0,0
9108327730,9108327352,6845961,202.67427,98914.2,15.0,1.1956576,0,0
9108421376,9108397651,6845961,202.70244,98913.91,15.0,1.195654,0,0
9108515409,9108483721,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9108624508,9108592971,6845961,202.69774,98913.93,15.0,1.1956543,0,0
9108702632,9108671109,6845961,202.7306,98913.555,15.0,1.1956499,0,0
9108811999,9108780462,6845961,202.70714,98913.83,15.0,1.1956531,0,0
9108890177,9108866421,6845961,202.69305,98913.97,15.0,1.1956547,0,0
9108999524,9108967979,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9109077633,9109053919,6845961,202.7353,98913.5,15.0,1.195649,0,0
9109140191,9109139878,6845961,202.74939,98913.305,15.0,1.1956468,0,0
9109218304,9109202343,6845961,202.71652,98913.67,15.0,1.1956512,0,0
9109327708,9109296107,6845961,202.70714,98913.85,15.0,1.1956534,0,0
9109405884,9109389901,6845961,202.71182,98913.77,15.0,1.1956525,0,0
9109515217,9109483622,6845961,202.70714,98913.8,15.0,1.1956527,0,0
9109593253,9109577339,6845961,202.70244,98913.86,15.0,1.1956534,0,0
9109655746,9109655452,6845961,202.70244,98913.91,15.0,1.195654,0,0
9109749512,9109725774,6845961,202.68365,98914.125,15.0,1.1956567,0,0
9109843245,9109811708,6845961,202.67427,98914.18,15.0,1.1956574,0,0
9109952705,9109921114,6845961,202.68835,98914.05,15.0,1.1956557,0,0
9110030873,9109999330,6845961,202.68835,98914.016,15.0,1.1956553,0,0
9110140169,9110108670,6845961,202.65079,98914.45,15.0,1.1956606,0,0
9110218304,9110194525,6845961,202.68835,98914.04,15.0,1.1956557,0,0
9110327726,9110296127,6845961,202.66019,98914.38,15.0,1.1956598,0,0
9110405762,9110382034,6845961,202.68365,98914.09,15.0,1.1956563,0,0
9110468360,9110468071,6845961,202.68365,98914.11,15.0,1.1956565,0,0
9110546389,9110530485,6845961,202.66957,98914.25,15.0,1.1956582,0,0
9110655745,9110624265,6845961,202.70714,98913.8,15.0,1.1956527,0,0
9110733899,9110717976,6845961,202.67427,98914.17,15.0,1.1956573,0,0
9110843312,9110811737,6845961,202.66957,98914.24,15.0,1.1956581,0,0
9110921376,9110905460,6845961,202.69774,98913.93,15.0,1.1956543,0,0
9110983916,9110983602,6845961,202.67427,98914.19,15.0,1.1956575,0,0
9111077634,9111053918,6845961,202.67427,98914.19,15.0,1.1956575,0,0
9111171374,9111139948,6845961,202.68365,98914.08,15.0,1.1956561,0,0
9111280761,9111249248,6845961,202.66019,98914.39,15.0,1.1956599,0,0
9111359047,9111327373,6845961,202.66487,98914.34,15.0,1.1956594,0,0
9111468251,9111436715,6845961,202.6461,98914.516,15.0,1.1956614,0,0
9111546391,9111522663,6845961,202.6461,98914.516,15.0,1.1956614,0,0
9111655745,9111624207,6845961,202.6367,98914.66,15.0,1.1956631,0,0
9111733899,9111710157,6845961,202.62732,98914.78,15.0,1.1956646,0,0
9111796398,9111796103,6845961,202.60384,98915.05,15.0,1.1956679,0,0
9111874521,9111858624,6845961,202.61324,98914.914,15.0,1.1956662,0,0
9111984018,9111952403,6845961,202.56628,98915.445,15.0,1.1956726,0,0
9112062061,9112046130,6845961,202.62732,98914.75,15.0,1.1956642,0,0
9112171383,9112139836,6845961,202.62262,98914.8,15.0,1.1956648,0,0
9112249512,9112233586,6845961,202.65079,98914.5,15.0,1.1956613,0,0
9112312044,9112311734,6845961,202.66487,98914.305,15.0,1.1956588,0,0
9112405764,9112382029,6845961,202.66487,98914.32,15.0,1.195659,0,0
9112499525,9112467977,6845961,202.66957,98914.25,15.0,1.1956582,0,0
9112608887,9112577349,6845961,202.69774,98913.92,15.0,1.1956543,0,0
9112687015,9112655462,6845961,202.70244,98913.875,15.0,1.1956537,0,0
9112796385,9112764848,6845961,202.69774,98913.92,15.0,1.1956543,0,0
9112874605,9112850781,6845961,202.70244,98913.89,15.0,1.1956538,0,0
9112983916,9112952405,6845961,202.70244,98913.875,15.0,1.1956537,0,0
9113062001,9113038300,6845961,202.7259,98913.59,15.0,1.1956502,0,0
9113124564,9113124214,6845961,202.78694,98912.875,15.0,1.1956415,0,0
9113202629,9113186712,6845961,202.75409,98913.234,15.0,1.1956459,0,0
9113312105,9113280515,6845961,202.77756,98912.98,15.0,1.1956428,0,0
9113390125,9113374214,6845961,202.76817,98913.125,15.0,1.1956446,0,0
9113499516,9113468010,6845961,202.78694,98912.86,15.0,1.1956414,0,0
9113577656,9113561724,6845961,202.75877,98913.23,15.0,1.1956458,0,0
9113640169,9113639878,6845961,202.75877,98913.19,15.0,1.1956453,0,0
9113733966,9113710196,6845961,202.75877,98913.2,15.0,1.1956456,0,0
9113827632,9113796112,6845961,202.77286,98913.06,15.0,1.1956439,0,0
9113937015,9113905476,6845961,202.78226,98912.92,15.0,1.1956421,0,0
9114015124,9113983586,6845961,202.78694,98912.89,15.0,1.1956418,0,0
