timestamp,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
9100476270,0,0,0,0,0,0,0
9100931124,0,0,1,0,0,0,0
9101164976,0,0,1,0,0,0,0
9101569252,0,0,1,0,0,0,0
9102074994,0,0,1,0,0,0,0
9102580825,0,0,1,0,0,0,0
9103086403,0,0,1,0,0,0,0
9103592295,0,0,1,0,0,0,0
9104097395,0,0,1,0,0,0,0
9104118620,0,0,1,0,0,0,0
9104624732,0,0,1,0,0,0,0
9105130638,0,0,1,0,0,0,0
9105636222,0,0,1,0,0,0,0
9106142517,0,0,1,0,0,0,0
9106647931,0,0,1,0,0,0,0
9106869984,0,0,1,0,0,0,0
9106880312,1,0,1,0,0,0,0
9107386810,1,0,1,0,0,0,0
9107892071,1,0,1,0,0,0,0
9108398123,1,0,1,0,0,0,0
9108903433,1,0,1,0,0,0,0
9109409530,1,0,1,0,0,0,0
9109914636,1,0,1,0,0,0,0
9110421038,1,0,1,0,0,0,0
9110926478,1,0,1,0,0,0,0
9111432948,1,0,1,0,0,0,0
9111938120,1,0,1,0,0,0,0
9112444397,1,0,1,0,0,0,0
9112950313,1,0,1,0,0,0,0
9113457376,1,0,1,0,0,0,0
9113962812,1,0,1,0,0,0,0
9114367895,1,0,1,0,0,0,0
9114873300,1,0,1,0,0,0,0
9115379532,1,0,1,0,0,0,0
9115884369,1,0,1,0,0,0,0
9116390678,1,0,1,0,0,0,0
9116895914,1,0,1,0,0,0,0
9117402527,1,0,1,0,0,0,0
9117907741,1,0,1,0,0,0,0
9118413679,1,0,1,0,0,0,0
9118918800,1,0,1,0,0,0,0
9119425553,1,0,1,0,0,0,0
9119930583,1,0,1,0,0,0,0
9120436879,1,0,1,0,0,0,0
9120941982,1,0,1,0,0,0,0
9121448539,1,0,1,0,0,0,0
9121954024,1,0,1,0,0,0,0
9122460421,1,0,1,0,0,0,0
9122965323,1,0,1,0,0,0,0
9123472060,1,0,1,0,0,0,0
9123977064,1,0,1,0,0,0,0
9124484275,1,0,1,0,0,0,0
9124989483,1,0,1,0,0,0,0
9125495464,1,0,1,0,0,0,0
9125859330,1,0,1,0,0,0,0
9126366287,1,0,1,0,0,0,0
9126871361,1,0,1,0,0,0,0
9127377887,1,0,1,0,0,0,0
9127883365,1,0,1,0,0,0,0
9128390428,1,0,1,0,0,0,0
9128895552,1,0,1,0,0,0,0
9129402136,1,0,1,0,0,0,0
9129907304,1,0,1,0,0,0,0
9130413770,1,0,1,0,0,0,0
9130918994,1,0,1,0,0,0,0
9131426015,1,0,1,0,0,0,0
9131932611,1,0,1,0,0,0,0
9132437613,1,0,1,0,0,0,0
9132944062,1,0,1,0,0,0,0
9133449615,1,0,1,0,0,0,0
9133956058,1,0,1,0,0,0,0
9134461827,1,0,1,0,0,0,0
9134968332,1,0,1,0,0,0,0
9135473986,1,0,1,0,0,0,0
9135979549,1,0,1,0,0,0,0
9136485300,1,0,1,0,0,0,0
9136991717,1,0,1,0,0,0,0
9137496991,1,0,1,0,0,0,0
9138002971,1,0,1,0,0,0,0
9138508163,1,0,1,0,0,0,0
9139014908,1,0,1,0,0,0,0
9139520507,1,0,1,0,0,0,0
9140027357,1,0,1,0,0,0,0
9140532613,1,0,1,0,0,0,0
9141039989,1,0,1,0,0,0,0
9141544968,1,0,1,0,0,0,0
9142051646,1,0,1,0,0,0,0
9142557961,1,0,1,0,0,0,0
9143064102,1,0,1,0,0,0,0
9143570399,1,0,1,0,0,0,0
9144076464,1,0,1,0,0,0,0
9144583174,1,0,1,0,0,0,0
9145088396,1,0,1,0,0,0,0
9145382020,1,0,1,0,0,0,0
9145888346,1,0,1,0,0,0,0
9146393879,1,0,1,0,0,0,0
9146900184,1,0,1,0,0,0,0
9147405397,1,0,1,0,0,0,0
9147911352,1,0,1,0,0,0,0
9148416886,1,0,1,0,0,0,0
9148923072,1,0,1,0,0,0,0
9149428786,1,0,1,0,0,0,0
9149934830,1,0,1,0,0,0,0
9150440186,1,0,1,0,0,0,0
9150946292,1,0,1,0,0,0,0
9151451540,1,0,1,0,0,0,0
9151957019,1,0,1,0,0,0,0
9152461780,1,0,1,0,0,0,0
9152969002,1,0,1,0,0,0,0
9153473901,1,0,1,0,0,0,0
9153980075,1,0,1,0,0,0,0
9154484988,1,0,1,0,0,0,0
9154991706,1,0,1,0,0,0,0
9155042514,0,0,1,0,0,0,0
9155550366,0,0,1,0,0,0,0
9156055920,0,0,1,0,0,0,0
9156562066,0,0,1,0,0,0,0
9157067381,0,0,1,0,0,0,0
9157573197,0,0,1,0,0,0,0
9158077970,0,0,1,0,0,0,0
9158584418,0,0,1,0,0,0,0
9159089809,0,0,1,0,0,0,0
9159595181,0,0,1,0,0,0,0
9160101270,0,0,1,0,0,0,0
9160607934,0,0,1,0,0,0,0
9161113189,0,0,1,0,0,0,0
9161619883,0,0,1,0,0,0,0
