timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
9100592730,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9100602580,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9100792443,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9100993106,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9101194989,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9101393635,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9101593890,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9101794551,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9101994251,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9102186140,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9102394648,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9102594624,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9102785538,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9102986584,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9103187393,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9103385888,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9103587605,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9103786880,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9103987311,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
9104189254,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,15728642,15728642,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,50,0,0,0,1,0,0,0,50,0,0,0
